Date,League,Team,Opp.,Phase,Coach,Opp. coach,OT/SO,PTS,Leading%,Tied%,Trailing%,TOI,GF,GA,G±,EQ TOI,EQ GF,EQ GA,EQ G±,PP OP,PP%,PP TOI,PP GF,PP GA,PP G±,SH SI,PK%,SH TOI,SH GF,SH GA,SH G±,SH%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,SMF,SPF,SBF,SMA,SPA,SBA,FOW,FOL,FO%,# 0',# 2',# 5',# 10',# 20',PIM,Spectators,MatchID,Outcome,Moneyline,H1-1.5,H1-2.5,H2-1.5,H2+1.5,H2+2.5,TG,Both2Goals,OU4.5,OU5.5,OU6.5,OU7.5
2018-09-21,National League,ZSC,SCB,Regular Season,Serge Aubin,Kari Jalonen,OT,1.0,0.0,88.31,11.69,61.0,1,2,-1,51.5,0,1.0,-1.0,3.0,33.33,2.9,1,0.0,1.0,4.0,75.0,6.7,0,1,-1,3.57,94.29,97.86,50.0,76,39.68,37,46.0,44.58,28,35,44.44,8.0,1.0,13.0,11,0,30.0,29,39,42.65,0,4,0,0,0.0,8.0,11200.0,20191105000006,0,0,0,0,0,1,1,3,0,0,0,0,0
2018-09-21,National League,HCFG,LHC,Regular Season,Mark French,Ville Peltonen,,0.0,0.0,36.28,63.72,60.0,1,5,-4,39.8,1,3.0,-2.0,3.0,0.0,4.8,0,0.0,0.0,8.0,75.0,15.4,0,2,-2,4.0,88.24,92.24,49.0,54,47.57,35,46.0,43.21,25,35,41.67,10.0,0.0,14.0,9,2,8.0,32,35,47.76,0,7,1,0,1.0,39.0,6163.0,20191105000003,-1,0,0,0,1,1,1,6,0,1,1,0,0
2018-09-21,National League,HCL,HCD,Regular Season,Greg Ireland,Arno Del Curto,,3.0,77.44,22.56,0.0,60.0,3,1,2,47.6,1,1.0,0.0,6.0,33.33,10.3,2,0.0,2.0,1.0,100.0,2.0,0,0,0,5.0,94.74,99.74,82.0,30,73.21,63,22.0,74.12,41,19,68.33,22.0,0.0,19.0,3,0,8.0,29,22,56.86,0,1,0,0,0.0,2.0,6241.0,20191105000004,1,1,1,0,0,0,1,4,0,0,0,0,0
2018-09-21,National League,HCAP,EVZ,Regular Season,Luca Cereda,Dan Tangnes,,0.0,0.0,54.89,45.11,60.0,1,2,-1,45.9,0,2.0,-2.0,5.0,20.0,8.1,1,0.0,1.0,3.0,100.0,6.0,0,0,0,2.86,92.86,95.71,67.0,48,58.26,51,38.0,57.3,35,28,55.56,15.0,1.0,16.0,10,0,10.0,34,22,60.71,0,3,0,0,0.0,6.0,6027.0,20191105000001,-1,0,0,0,0,1,1,3,0,0,0,0,0
2018-09-21,National League,EHCB,GSHC,Regular Season,Antti Törmänen,Chris McSorley,,3.0,88.0,12.0,0.0,60.0,3,0,3,50.3,2,0.0,2.0,3.0,0.0,4.6,0,0.0,0.0,3.0,100.0,5.1,1,0,1,10.71,100.0,110.71,56.0,51,52.34,45,35.0,56.25,28,23,54.9,16.0,1.0,11.0,12,0,16.0,20,28,41.67,0,5,0,0,0.0,10.0,5393.0,20191105000002,1,1,1,1,0,0,0,3,0,0,0,0,0
2018-09-21,National League,SCLT,SCRJ,Regular Season,Heinz Ehlers,Jeff Tomlinson,,3.0,59.58,13.5,26.92,60.0,5,2,3,50.6,4,0.0,4.0,3.0,33.33,4.5,1,1.0,0.0,3.0,66.67,4.9,0,1,-1,13.79,92.86,106.65,53.0,57,48.18,38,38.0,50.0,30,28,51.72,7.0,1.0,15.0,10,0,19.0,38,21,64.41,0,3,0,0,0.0,6.0,5623.0,20191105000005,1,1,1,1,0,0,0,7,1,1,1,1,0
2018-09-22,National League,HCD,HCAP,Regular Season,Arno Del Curto,Luca Cereda,,0.0,0.0,28.92,71.08,60.0,2,5,-3,51.0,2,2.0,0.0,3.0,0.0,5.5,0,0.0,0.0,4.0,25.0,3.5,0,3,-3,6.9,82.14,89.04,60.0,47,56.07,41,39.0,51.25,29,28,50.88,12.0,0.0,19.0,11,0,8.0,42,19,68.85,0,4,0,0,0.0,8.0,4750.0,20191105000008,-1,0,0,0,1,1,1,7,1,1,1,1,0
2018-09-22,National League,GSHC,HCFG,Regular Season,Chris McSorley,Mark French,,3.0,74.39,25.61,0.0,60.0,3,1,2,49.0,2,1.0,1.0,5.0,20.0,4.0,1,0.0,1.0,4.0,100.0,7.0,0,0,0,7.69,96.0,103.69,45.0,52,46.39,40,40.0,50.0,27,25,51.92,13.0,0.0,5.0,15,0,12.0,21,37,36.21,1,8,0,0,0.0,16.0,6107.0,20191105000009,1,1,1,0,0,0,1,4,0,0,0,0,0
2018-09-22,National League,EVZ,HCL,Regular Season,Dan Tangnes,Greg Ireland,,3.0,57.94,42.06,0.0,60.0,6,5,1,52.1,5,5.0,0.0,3.0,33.33,5.9,1,0.0,1.0,1.0,100.0,2.0,0,0,0,17.65,76.19,93.84,60.0,43,58.25,50,33.0,60.24,34,21,61.82,11.0,5.0,10.0,11,1,10.0,40,22,64.52,0,1,0,0,0.0,2.0,6833.0,20191105000012,1,1,0,0,0,1,1,11,1,1,1,1,1
2018-09-22,National League,SCB,SCLT,Regular Season,Kari Jalonen,Heinz Ehlers,,3.0,97.08,2.92,0.0,60.0,3,0,3,45.5,2,0.0,2.0,6.0,0.0,9.8,0,0.0,0.0,3.0,100.0,4.7,1,0,1,7.14,100.0,107.14,56.0,52,51.85,37,40.0,48.05,29,23,55.77,8.0,0.0,19.0,16,1,12.0,27,20,57.45,0,3,0,0,0.0,6.0,17031.0,20191105000007,1,1,1,1,0,0,0,3,0,0,0,0,0
