"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000433' target='_blank'>2023-04-27</a>,National League,EHCB,GSHC,away,Playoffs,Antti Törmänen,Jan Cadieux,,0,0,6.5,93.5,60,1,4,-3,48.8,1,3,-2,3,0,6,0,0,0,4,75,5.2,0,1,-1,4.35,77.78,82.13,46,36,56.1,31,25,55.36,23,18,56.1,8,0,15,5,2,11,23,33,41.07,0,3,0,0,0,6,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000432' target='_blank'>2023-04-25</a>,National League,EHCB,GSHC,home,Playoffs,Antti Törmänen,Jan Cadieux,,3,46.31,36.5,17.19,60,4,2,2,50,4,2,2,3,0,6,0,0,0,2,100,4,0,0,0,9.68,92.31,101.99,66,45,59.46,47,32,59.49,32,26,55.17,15,0,19,5,1,13,26,22,54.17,0,3,0,0,0,6,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000431' target='_blank'>2023-04-22</a>,National League,EHCB,GSHC,away,Playoffs,Antti Törmänen,Jan Cadieux,,0,0,38.97,61.03,60,1,7,-6,46.5,1,7,-6,5,0,8.8,0,0,0,3,100,4.8,0,0,0,4.17,75.86,80.03,44,41,51.76,31,34,47.69,24,29,45.28,6,1,13,4,1,7,23,24,48.94,0,3,0,0,0,6,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000430' target='_blank'>2023-04-20</a>,National League,EHCB,GSHC,home,Playoffs,Antti Törmänen,Jan Cadieux,,0,19.19,20.97,59.83,60,2,3,-1,51,1,2,-1,3,33.33,5,1,1,0,2,100,4,0,0,0,9.52,90.62,100.15,48,60,44.44,31,45,40.79,21,32,39.62,10,0,17,13,0,15,19,26,42.22,0,3,0,0,0,6,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000429' target='_blank'>2023-04-18</a>,National League,EHCB,GSHC,away,Playoffs,Antti Törmänen,Jan Cadieux,OT,2,32.02,67.98,0,77.2,2,1,1,65.8,2,0,2,3,0,6,0,0,0,3,66.67,5.3,0,1,-1,6.9,97.92,104.81,49,95,34.03,38,65,36.89,29,48,37.66,8,1,11,15,2,30,28,31,47.46,0,4,0,0,0,8,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000428' target='_blank'>2023-04-16</a>,National League,EHCB,GSHC,home,Playoffs,Antti Törmänen,Jan Cadieux,,3,91.53,8.47,0,60,3,2,1,49.5,3,2,1,5,0,6.5,0,0,0,2,100,4,0,0,0,18.75,92,110.75,43,48,47.25,28,42,40,16,25,39.02,10,2,15,17,0,6,18,19,48.65,0,2,0,0,0,4,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000427' target='_blank'>2023-04-14</a>,National League,EHCB,GSHC,away,Playoffs,Oliver David,Jan Cadieux,,0,0,52.39,47.61,60,1,2,-1,51.6,1,1,0,2,0,2,0,0,0,5,80,6.4,0,1,-1,4.35,95,99.35,50,58,46.3,28,46,37.84,23,40,36.51,5,0,22,6,0,12,25,28,47.17,0,5,0,0,0,10,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000420' target='_blank'>2023-04-05</a>,National League,EHCB,ZSC,away,Playoffs,Antti Törmänen,Marc Crawford,,3,13.97,34.08,51.94,60,5,3,2,49.6,2,1,1,4,75,5.9,3,0,3,3,33.33,4.5,0,2,-2,15.38,91.89,107.28,45,58,43.69,34,46,42.5,27,37,42.19,7,0,11,9,0,12,28,25,52.83,0,4,0,0,0,8,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000418' target='_blank'>2023-04-03</a>,National League,EHCB,ZSC,home,Playoffs,Antti Törmänen,Marc Crawford,,3,65.97,34.03,0,60,5,3,2,56.1,3,3,0,3,66.67,3.9,2,0,2,0,,0,0,0,0,23.81,89.29,113.1,44,58,43.14,32,41,43.84,21,28,42.86,10,1,12,13,0,17,19,38,33.33,0,0,0,0,0,0,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000416' target='_blank'>2023-04-01</a>,National League,EHCB,ZSC,away,Playoffs,Antti Törmänen,Marc Crawford,,3,95.14,4.86,0,60,4,0,4,47.7,3,0,3,3,33.33,4.3,1,0,1,4,100,8,0,0,0,18.75,100,118.75,35,64,35.35,29,44,39.73,17,28,37.78,9,3,6,15,1,20,27,32,45.76,0,4,0,0,0,8,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000414' target='_blank'>2023-03-30</a>,National League,EHCB,ZSC,home,Playoffs,Antti Törmänen,Marc Crawford,,3,3.22,96.78,0,60,1,0,1,45,1,0,1,3,0,6,0,0,0,3,100,9,0,0,0,3.7,100,103.7,48,53,47.52,37,40,48.05,27,27,50,10,0,11,13,0,13,22,18,55,0,2,1,0,0,9,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000406' target='_blank'>2023-03-26</a>,National League,EHCB,SCB,away,Playoffs,Antti Törmänen,Toni Söderholm,,3,37.08,39,23.92,60,4,3,1,51.2,3,2,1,2,50,3.9,1,0,1,3,66.67,4.9,0,1,-1,16,91.18,107.18,46,61,42.99,32,42,43.24,25,34,42.37,7,0,14,8,0,19,25,25,50,0,3,0,0,0,6,17031
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000402' target='_blank'>2023-03-24</a>,National League,EHCB,SCB,home,Playoffs,Antti Törmänen,Toni Söderholm,,3,99.06,0.94,0,60,3,1,2,45.4,2,0,2,5,20,9.3,1,0,1,3,66.67,5.3,0,1,-1,7.14,97.06,104.2,53,64,45.3,37,45,45.12,29,34,46.03,7,1,16,9,2,19,33,21,61.11,0,3,0,0,0,6,6562
