"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000370' target='_blank'>2023-03-11</a>,National League,EHCK,SCB,away,Playoffs,Tomlinson Jeff,Toni Söderholm,,0,0,35.42,64.58,60,0,5,-5,43.1,0,5,-5,2,0,4,0,0,0,7,100,12.9,0,0,0,0,90.62,90.62,43,76,36.13,29,60,32.58,20,34,37.04,8,1,14,24,2,16,24,32,42.86,0,7,0,0,0,14,17031
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000368' target='_blank'>2023-03-09</a>,National League,EHCK,SCB,home,Playoffs,Tomlinson Jeff,Toni Söderholm,,3,61.44,38.56,0,60,4,1,3,44.9,1,0,1,6,50,9.9,3,0,3,3,66.67,5.2,0,1,-1,15,96.77,111.77,57,60,48.72,34,46,42.5,21,31,40.38,13,0,23,14,1,14,31,28,52.54,0,8,0,0,0,16,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000366' target='_blank'>2023-03-07</a>,National League,EHCK,SCB,away,Playoffs,Tomlinson Jeff,Toni Söderholm,,0,8.86,29.53,61.61,60,1,5,-4,46,0,2,-2,5,20,6.7,1,0,1,5,40,7.3,0,3,-3,3.57,86.84,90.41,54,66,45,40,52,43.48,28,38,42.42,12,0,14,14,0,14,25,22,53.19,0,5,1,0,1,35,14824
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000359' target='_blank'>2023-03-04</a>,National League,EHCK,HCD,away,Regular Season,Tomlinson Jeff,Waltteri Immonen,,3,94.08,5.92,0,60,4,1,3,53.8,3,1,2,3,33.33,4.2,1,0,1,1,100,2,0,0,0,14.81,95.65,110.47,38,48,44.19,35,39,47.3,27,23,54,8,0,3,16,0,9,29,29,50,0,1,0,0,0,2,6547
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000354' target='_blank'>2023-03-02</a>,National League,EHCK,SCRJ,home,Regular Season,Tomlinson Jeff,Stefan Hedlund,SO,2,3.82,96.18,0,65,3,2,1,50,0,1,-1,6,16.67,9.1,1,0,1,3,66.67,5.9,1,1,0,11.11,94.59,105.71,45,57,44.12,27,44,38.03,18,37,32.73,9,0,18,6,1,13,19,31,38,0,5,0,0,0,10,6748
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000349' target='_blank'>2023-02-25</a>,National League,EHCK,SCLT,away,Regular Season,Tomlinson Jeff,Thierry Paterlini,,3,77.42,22.58,0,60,3,1,2,47.5,0,1,-1,5,60,6.9,3,0,3,3,100,5.6,0,0,0,12,96.67,108.67,56,71,44.09,37,43,46.25,25,30,45.45,11,1,19,11,2,28,22,39,36.07,0,3,0,0,0,6,5704
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000340' target='_blank'>2023-02-24</a>,National League,EHCK,LHC,home,Regular Season,Tomlinson Jeff,Geoff Ward,SO,1,7.03,67.03,25.95,65,2,3,-1,54.1,1,2,-1,2,50,2.9,1,0,1,4,100,8,0,0,0,7.69,94.59,102.29,58,71,44.96,44,51,46.32,26,37,41.27,18,0,14,12,2,20,30,28,51.72,0,4,0,0,0,8,5769
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000326' target='_blank'>2023-02-19</a>,National League,EHCK,EHCB,home,Regular Season,Tomlinson Jeff,Antti Törmänen,,0,0,1.83,98.17,60,2,6,-4,52.5,2,6,-4,4,0,7.5,0,0,0,0,,0,0,0,0,6.9,72.73,79.62,56,39,58.95,48,36,57.14,29,22,56.86,16,3,8,14,0,3,18,33,35.29,0,0,0,0,0,0,5948
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000336' target='_blank'>2023-02-18</a>,National League,EHCK,EVZ,away,Regular Season,Tomlinson Jeff,Dan Tangnes,,0,29.86,32.61,37.53,60,4,6,-2,53.4,4,5,-1,2,0,4,0,0,0,2,50,2.6,0,1,-1,20,85.29,105.29,51,73,41.13,35,54,39.33,20,35,36.36,15,0,16,18,1,19,22,32,40.74,0,2,0,0,0,4,6961
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000214' target='_blank'>2023-02-14</a>,National League,EHCK,HCFG,away,Regular Season,Tomlinson Jeff,Christian Dubé,SO,2,54.62,45.38,0,65,4,3,1,53.2,3,3,0,3,0,5.8,0,0,0,3,100,6,0,0,0,11.11,90.62,101.74,51,66,43.59,33,48,40.74,27,32,45.76,6,0,18,16,0,18,24,21,53.33,0,3,0,0,0,6,8889
