"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000421' target='_blank'>2023-04-08</a>,National League,EVZ,GSHC,away,Playoffs,Dan Tangnes,Jan Cadieux,,0,5.44,70.61,23.94,60,2,3,-1,50.6,2,2,0,3,0,6,0,0,0,2,50,3.4,0,1,-1,7.69,90.62,98.32,64,51,55.65,37,38,49.33,26,32,44.83,11,0,27,6,0,13,25,25,50,0,2,0,0,0,4,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000419' target='_blank'>2023-04-06</a>,National League,EVZ,GSHC,home,Playoffs,Dan Tangnes,Jan Cadieux,OT,1,3.66,73.67,22.67,75.7,2,3,-1,64.3,1,2,-1,3,33.33,5.8,1,0,1,4,75,5.6,0,1,-1,5.56,91.43,96.98,68,64,51.52,49,46,51.58,36,35,50.7,13,0,19,11,0,18,30,30,50,0,5,0,0,0,10,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000417' target='_blank'>2023-04-04</a>,National League,EVZ,GSHC,away,Playoffs,Dan Tangnes,Jan Cadieux,,0,33.22,31.78,35,60,1,2,-1,54,1,2,-1,1,0,2,0,0,0,2,100,4,0,0,0,5.56,94.12,99.67,53,59,47.32,33,45,42.31,18,34,34.62,15,0,20,10,1,14,30,20,60,0,2,0,0,0,4,6918
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000415' target='_blank'>2023-04-02</a>,National League,EVZ,GSHC,home,Playoffs,Dan Tangnes,Jan Cadieux,,3,57.03,42.97,0,60,3,1,2,47,3,0,3,4,0,6.2,0,0,0,4,75,6.8,0,1,-1,6.25,96.88,103.12,60,72,45.45,45,48,48.39,33,32,50.77,11,1,15,15,1,24,27,34,44.26,0,6,0,0,0,12,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000413' target='_blank'>2023-03-31</a>,National League,EVZ,GSHC,away,Playoffs,Dan Tangnes,Jan Cadieux,,0,25.69,49.39,24.92,60,1,3,-2,52,1,3,-2,2,0,4,0,0,0,2,100,4,0,0,0,3.45,93.55,97,58,57,50.43,43,39,52.44,29,32,47.54,14,0,15,7,0,18,24,26,48,0,3,0,0,0,6,6906
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000407' target='_blank'>2023-03-26</a>,National League,EVZ,SCRJ,home,Playoffs,Dan Tangnes,Stefan Hedlund,,3,29.72,70.28,0,60,4,1,3,49.7,4,1,3,2,0,3.1,0,0,0,4,100,7.1,0,0,0,10,97.06,107.06,54,59,47.79,29,40,42.03,22,34,39.29,6,1,25,6,0,19,30,24,55.56,0,4,0,0,0,8,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000403' target='_blank'>2023-03-24</a>,National League,EVZ,SCRJ,away,Playoffs,Dan Tangnes,Stefan Hedlund,,0,25.11,25.86,49.03,60,1,4,-3,49,1,3,-2,2,0,4,0,0,0,4,75,7,0,1,-1,5.56,90.62,96.18,43,68,38.74,31,46,40.26,18,33,35.29,13,0,12,13,0,22,24,33,42.11,0,7,0,0,0,14,6100
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000399' target='_blank'>2023-03-22</a>,National League,EVZ,SCRJ,home,Playoffs,Dan Tangnes,Stefan Hedlund,,3,68.44,31.56,0,60,3,0,3,51.5,2,0,2,2,50,2.5,1,0,1,3,100,6,0,0,0,8.33,100,108.33,48,58,45.28,38,40,48.72,25,22,53.19,13,0,10,18,0,18,20,25,44.44,0,4,0,0,0,8,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000395' target='_blank'>2023-03-19</a>,National League,EVZ,SCRJ,away,Playoffs,Dan Tangnes,Stefan Hedlund,,0,26.72,18.94,54.33,60,1,4,-3,46.8,0,3,-3,2,50,3.6,1,0,1,4,75,9.6,0,1,-1,3.7,87.88,91.58,51,66,43.59,35,54,39.33,27,33,45,7,1,16,19,2,12,32,27,54.24,0,4,1,0,1,33,6100
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000391' target='_blank'>2023-03-17</a>,National League,EVZ,SCRJ,home,Playoffs,Dan Tangnes,Stefan Hedlund,,3,1.92,35.81,62.28,60,4,3,1,50.5,4,2,2,2,0,3.8,0,1,-1,3,100,5.8,0,0,0,16,91.67,107.67,58,58,50,35,43,44.87,25,36,40.98,10,0,23,6,1,15,25,28,47.17,0,6,0,0,0,12,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000387' target='_blank'>2023-03-15</a>,National League,EVZ,SCRJ,away,Playoffs,Dan Tangnes,Stefan Hedlund,,3,72.94,17.33,9.72,60,5,2,3,49.6,3,2,1,3,66.67,3.8,2,0,2,4,100,6.6,0,0,0,22.22,95.35,117.57,49,78,38.58,25,55,31.25,19,43,30.65,6,0,24,11,1,23,46,29,61.33,0,3,1,0,1,31,6100
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000363' target='_blank'>2023-03-04</a>,National League,EVZ,LHC,away,Regular Season,Dan Tangnes,Geoff Ward,,3,95.5,4.5,0,60,5,0,5,44.4,4,0,4,7,14.29,12.1,1,0,1,2,100,3.6,0,0,0,14.29,100,114.29,59,46,56.19,46,34,57.5,35,28,55.56,10,1,13,6,0,12,24,33,42.11,0,3,0,0,0,6,9208
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000357' target='_blank'>2023-03-02</a>,National League,EVZ,GSHC,home,Regular Season,Dan Tangnes,Jan Cadieux,,3,52.22,47.78,0,60,6,1,5,51.2,5,1,4,4,25,6.8,1,0,1,1,100,2,0,0,0,13.04,94.12,107.16,77,30,71.96,58,20,74.36,46,17,73.02,8,4,19,3,0,10,28,24,53.85,0,1,0,0,0,2,6742
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000119' target='_blank'>2023-02-28</a>,National League,EVZ,HCFG,home,Regular Season,Dan Tangnes,Christian Dubé,,3,84,16,0,60,4,2,2,52.7,3,0,3,2,50,2.6,1,0,1,3,33.33,4.7,0,2,-2,8.33,94.29,102.62,55,77,41.67,47,52,47.47,37,35,51.39,10,0,8,13,4,25,27,24,52.94,0,3,0,0,0,6,6834
