"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20241105000026' target='_blank'>2023-09-22</a>,National League,GSHC,HCFG,away,Regular Season,Jan Cadieux,Christian Dubé,0,60,0,9.61,90.39,1,7,-6,1,7,-6,1,7,50.9,1,6,-5,1.18,7.07,0,0,,0,0,0,,9.1,6,83.33,0,1,-1,6.62,0,0,0,0,7.14,75.86,83,23,30,43.4,1,6,1,0,1,37,9009
<a href='https://www.sihf.ch/de/game-center/game/#/20241105000018' target='_blank'>2023-09-19</a>,National League,GSHC,LHC,away,Regular Season,Jan Cadieux,Geoff Ward,0,60,0,12.36,87.64,1,6,-5,1,6,-5,1,6,42.1,1,4,-3,1.43,5.7,6,3,0,0,0,0,0,11.9,7,71.43,0,2,-2,10.08,0,0,0,0,4.35,87.76,92.1,27,26,50.94,0,8,0,0,0,16,6434
<a href='https://www.sihf.ch/de/game-center/game/#/20241105000014' target='_blank'>2023-09-16</a>,National League,GSHC,ZSC,home,Regular Season,Jan Cadieux,Marc Crawford,3,60,66.25,33.75,0,2,1,1,2,1,1,2,1,52,2,1,1,2.31,1.15,2,1,0,0,0,0,0,6,5,100,0,0,0,0,0,0,0,0,8.33,96.43,104.76,31,22,58.49,0,4,0,0,0,8,6058
<a href='https://www.sihf.ch/de/game-center/game/#/20241105000004' target='_blank'>2023-09-15</a>,National League,GSHC,SCLT,away,Regular Season,Jan Cadieux,Thierry Paterlini,1,61.1,70.42,29.58,0,1,2,-1,1,2,-1,0.98,1.96,55.1,1,2,-1,1.09,2.18,2,1,0,0,0,0,0,4,2,100,0,0,0,0,0,0,0,0,4.17,94.12,98.28,23,27,46,0,2,0,0,0,4,5188
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000433' target='_blank'>2023-04-27</a>,National League,GSHC,EHCB,home,Playoffs,Jan Cadieux,Antti Törmänen,,3,93.5,6.5,0,60,4,1,3,48.8,3,1,2,4,25,5.2,1,0,1,3,100,6,0,0,0,22.22,95.65,117.87,36,46,43.9,25,31,44.64,18,23,43.9,5,2,11,8,0,15,33,23,58.93,0,3,0,0,0,6,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000432' target='_blank'>2023-04-25</a>,National League,GSHC,EHCB,away,Playoffs,Jan Cadieux,Antti Törmänen,,0,17.19,36.5,46.31,60,2,4,-2,50,2,4,-2,2,0,4,0,0,0,3,100,6,0,0,0,7.69,90.32,98.01,45,66,40.54,32,47,40.51,26,32,44.83,5,1,13,15,0,19,22,26,45.83,0,4,0,1,0,18,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000431' target='_blank'>2023-04-22</a>,National League,GSHC,EHCB,home,Playoffs,Jan Cadieux,Antti Törmänen,,3,61.03,38.97,0,60,7,1,6,46.5,7,1,6,3,0,4.8,0,0,0,5,100,8.8,0,0,0,24.14,95.83,119.97,41,44,48.24,34,31,52.31,29,24,54.72,4,1,7,6,1,13,24,23,51.06,0,5,0,0,0,10,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000430' target='_blank'>2023-04-20</a>,National League,GSHC,EHCB,away,Playoffs,Jan Cadieux,Antti Törmänen,,3,59.83,20.97,19.19,60,3,2,1,51,2,1,1,2,0,4,0,0,0,3,66.67,5,1,1,0,9.38,90.48,99.85,60,48,55.56,45,31,59.21,32,21,60.38,13,0,15,10,0,17,26,19,57.78,0,4,0,0,1,28,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000429' target='_blank'>2023-04-18</a>,National League,GSHC,EHCB,home,Playoffs,Jan Cadieux,Antti Törmänen,OT,1,0,67.98,32.02,77.2,1,2,-1,65.8,0,2,-2,3,33.33,5.3,1,0,1,3,100,6,0,0,0,2.08,93.1,95.19,95,49,65.97,65,38,63.11,48,29,62.34,15,2,30,8,1,11,31,28,52.54,0,4,0,0,0,8,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000428' target='_blank'>2023-04-16</a>,National League,GSHC,EHCB,away,Playoffs,Jan Cadieux,Antti Törmänen,,0,0,8.47,91.53,60,2,3,-1,49.5,2,3,-1,2,0,4,0,0,0,5,100,6.5,0,0,0,8,81.25,89.25,48,43,52.75,42,28,60,25,16,60.98,17,0,6,10,2,15,19,18,51.35,0,5,0,0,0,10,6562
