"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000433' target='_blank'>2023-04-27</a>,National League,GSHC,EHCB,home,Playoffs,Jan Cadieux,Antti Törmänen,,3,93.5,6.5,0,60,4,1,3,48.8,3,1,2,4,25,5.2,1,0,1,3,100,6,0,0,0,22.22,95.65,117.87,36,46,43.9,25,31,44.64,18,23,43.9,5,2,11,8,0,15,33,23,58.93,0,3,0,0,0,6,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000432' target='_blank'>2023-04-25</a>,National League,GSHC,EHCB,away,Playoffs,Jan Cadieux,Antti Törmänen,,0,17.19,36.5,46.31,60,2,4,-2,50,2,4,-2,2,0,4,0,0,0,3,100,6,0,0,0,7.69,90.32,98.01,45,66,40.54,32,47,40.51,26,32,44.83,5,1,13,15,0,19,22,26,45.83,0,4,0,1,0,18,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000431' target='_blank'>2023-04-22</a>,National League,GSHC,EHCB,home,Playoffs,Jan Cadieux,Antti Törmänen,,3,61.03,38.97,0,60,7,1,6,46.5,7,1,6,3,0,4.8,0,0,0,5,100,8.8,0,0,0,24.14,95.83,119.97,41,44,48.24,34,31,52.31,29,24,54.72,4,1,7,6,1,13,24,23,51.06,0,5,0,0,0,10,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000430' target='_blank'>2023-04-20</a>,National League,GSHC,EHCB,away,Playoffs,Jan Cadieux,Antti Törmänen,,3,59.83,20.97,19.19,60,3,2,1,51,2,1,1,2,0,4,0,0,0,3,66.67,5,1,1,0,9.38,90.48,99.85,60,48,55.56,45,31,59.21,32,21,60.38,13,0,15,10,0,17,26,19,57.78,0,4,0,0,1,28,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000429' target='_blank'>2023-04-18</a>,National League,GSHC,EHCB,home,Playoffs,Jan Cadieux,Antti Törmänen,OT,1,0,67.98,32.02,77.2,1,2,-1,65.8,0,2,-2,3,33.33,5.3,1,0,1,3,100,6,0,0,0,2.08,93.1,95.19,95,49,65.97,65,38,63.11,48,29,62.34,15,2,30,8,1,11,31,28,52.54,0,4,0,0,0,8,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000428' target='_blank'>2023-04-16</a>,National League,GSHC,EHCB,away,Playoffs,Jan Cadieux,Antti Törmänen,,0,0,8.47,91.53,60,2,3,-1,49.5,2,3,-1,2,0,4,0,0,0,5,100,6.5,0,0,0,8,81.25,89.25,48,43,52.75,42,28,60,25,16,60.98,17,0,6,10,2,15,19,18,51.35,0,5,0,0,0,10,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000427' target='_blank'>2023-04-14</a>,National League,GSHC,EHCB,home,Playoffs,Jan Cadieux,Oliver David,,3,47.61,52.39,0,60,2,1,1,51.6,1,1,0,5,20,6.4,1,0,1,2,100,2,0,0,0,5,95.65,100.65,58,50,53.7,46,28,62.16,40,23,63.49,6,0,12,5,0,22,28,25,52.83,0,2,0,0,0,4,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000421' target='_blank'>2023-04-08</a>,National League,GSHC,EVZ,home,Playoffs,Jan Cadieux,Dan Tangnes,,3,23.94,70.61,5.44,60,3,2,1,50.6,2,2,0,2,50,3.4,1,0,1,3,100,6,0,0,0,9.38,92.31,101.68,51,64,44.35,38,37,50.67,32,26,55.17,6,0,13,11,0,27,25,25,50,0,3,0,0,0,6,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000419' target='_blank'>2023-04-06</a>,National League,GSHC,EVZ,away,Playoffs,Jan Cadieux,Dan Tangnes,OT,2,22.67,73.67,3.66,75.7,3,2,1,64.3,2,1,1,4,25,5.6,1,0,1,3,66.67,5.8,0,1,-1,8.57,94.44,103.02,64,68,48.48,46,49,48.42,35,36,49.3,11,0,18,13,0,19,30,30,50,0,5,0,0,0,10,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000417' target='_blank'>2023-04-04</a>,National League,GSHC,EVZ,home,Playoffs,Jan Cadieux,Dan Tangnes,,3,35,31.78,33.22,60,2,1,1,54,2,1,1,2,0,4,0,0,0,1,100,2,0,0,0,5.88,94.44,100.33,59,53,52.68,45,33,57.69,34,18,65.38,10,1,14,15,0,20,20,30,40,0,1,0,0,0,2,6918
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000415' target='_blank'>2023-04-02</a>,National League,GSHC,EVZ,away,Playoffs,Jan Cadieux,Dan Tangnes,,0,0,42.97,57.03,60,1,3,-2,47,0,3,-3,4,25,6.8,1,0,1,4,100,6.2,0,0,0,3.12,93.75,96.88,72,60,54.55,48,45,51.61,32,33,49.23,15,1,24,11,1,15,34,27,55.74,0,6,0,0,0,12,7200
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000413' target='_blank'>2023-03-31</a>,National League,GSHC,EVZ,home,Playoffs,Jan Cadieux,Dan Tangnes,,3,24.92,49.39,25.69,60,3,1,2,52,3,1,2,2,0,4,0,0,0,2,100,4,0,0,0,6.45,96.55,103,57,58,49.57,39,43,47.56,32,29,52.46,7,0,18,14,0,15,26,24,52,0,3,0,0,0,6,6906
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000405' target='_blank'>2023-03-26</a>,National League,GSHC,HCL,away,Playoffs,Jan Cadieux,Luca Gianinazzi,,3,93.72,6.28,0,60,5,2,3,53.4,5,1,4,2,0,4,0,0,0,2,50,2.6,0,1,-1,13.64,93.94,107.58,48,61,44.04,37,41,47.44,24,33,42.11,13,0,11,8,0,20,28,30,48.28,0,2,0,0,0,4,6420
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000401' target='_blank'>2023-03-24</a>,National League,GSHC,HCL,home,Playoffs,Jan Cadieux,Luca Gianinazzi,,3,87,13,0,60,5,1,4,48.6,4,0,4,4,0,9.1,0,0,0,2,50,2.3,1,1,0,13.16,95,108.16,67,51,56.78,56,33,62.92,38,20,65.52,18,0,11,12,1,18,32,22,59.26,0,4,0,0,0,8,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000397' target='_blank'>2023-03-21</a>,National League,GSHC,HCL,away,Playoffs,Jan Cadieux,Luca Gianinazzi,OT,1,15.1,84.9,0,61.1,1,2,-1,49.1,1,2,-1,6,0,8,0,0,0,3,100,4,0,0,0,2.63,94.29,96.92,73,50,59.35,53,40,56.99,38,35,52.05,15,0,20,5,0,10,34,24,58.62,0,5,0,1,0,20,5609
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000393' target='_blank'>2023-03-18</a>,National League,GSHC,HCL,home,Playoffs,Jan Cadieux,Luca Gianinazzi,OT,2,0.99,78.78,20.23,114.1,3,2,1,102.8,1,2,-1,7,28.57,8.8,2,0,2,2,100,2.4,0,0,0,4.76,92.59,97.35,132,65,67.01,93,41,69.4,63,27,70,28,2,39,12,2,24,45,47,48.91,0,4,0,0,0,8,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000389' target='_blank'>2023-03-16</a>,National League,GSHC,HCL,away,Playoffs,Jan Cadieux,Luca Gianinazzi,,0,0,52.03,47.97,60,0,2,-2,48,0,2,-2,2,0,4,0,0,0,4,100,8,0,0,0,0,92,92,60,52,53.57,41,38,51.9,33,25,56.9,8,0,19,13,0,14,31,20,60.78,0,5,0,0,0,10,5242
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000385' target='_blank'>2023-03-14</a>,National League,GSHC,HCL,home,Playoffs,Jan Cadieux,Luca Gianinazzi,,3,50.56,46.56,2.89,60,6,3,3,47.4,3,2,1,7,28.57,8,2,0,2,5,80,4.6,1,1,0,13.51,86.96,100.47,80,45,64,56,32,63.64,38,23,62.3,14,4,24,9,0,13,36,29,55.38,0,7,0,0,0,14,6102
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000361' target='_blank'>2023-03-04</a>,National League,GSHC,HCA,home,Regular Season,Jan Cadieux,Julien Vauclair,,3,77.53,22.47,0,60,3,2,1,40.6,1,1,0,5,20,8.6,1,0,1,6,83.33,10.8,1,1,0,8.11,86.67,94.77,59,26,69.41,45,18,71.43,37,15,71.15,6,2,14,3,0,8,31,25,55.36,0,6,0,0,0,12,6917
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000357' target='_blank'>2023-03-02</a>,National League,GSHC,EVZ,away,Regular Season,Jan Cadieux,Dan Tangnes,,0,0,47.78,52.22,60,1,6,-5,51.2,1,5,-4,1,0,2,0,0,0,4,75,6.8,0,1,-1,5.88,86.96,92.84,30,77,28.04,20,58,25.64,17,46,26.98,3,0,10,8,4,19,24,28,46.15,0,4,0,0,0,8,6742
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000347' target='_blank'>2023-02-25</a>,National League,GSHC,ZSC,home,Regular Season,Jan Cadieux,Marc Crawford,,0,38.92,40.89,20.19,60,3,4,-1,55.5,2,3,-1,2,50,1.8,1,0,1,3,66.67,2.7,0,1,-1,14.29,87.5,101.79,38,62,38,28,45,38.36,21,32,39.62,7,0,10,12,1,17,26,25,50.98,0,5,0,0,0,10,7135
