"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000362' target='_blank'>2023-03-04</a>,National League,HCAP,SCRJ,away,Regular Season,Luca Cereda,Stefan Hedlund,,0,0,16.42,83.58,60,4,7,-3,46.7,1,5,-4,4,50,4.9,2,0,2,5,60,8.4,1,2,-1,13.79,82.05,95.84,53,65,44.92,38,55,40.86,29,39,42.65,9,0,15,16,0,10,26,31,45.61,0,5,0,0,0,10,6016
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000352' target='_blank'>2023-03-02</a>,National League,HCAP,HCL,home,Regular Season,Luca Cereda,Luca Gianinazzi,,0,0,34.36,65.64,60,2,4,-2,51.6,1,4,-3,2,0,4,0,0,0,3,100,4.3,1,0,1,5.13,93.02,98.15,65,75,46.43,53,63,45.69,39,44,46.99,14,0,12,19,0,12,25,37,40.32,0,4,0,0,0,8,6775
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000261' target='_blank'>2023-02-28</a>,National League,HCAP,HCD,away,Regular Season,Luca Cereda,Waltteri Immonen,,3,4.22,4.83,90.94,60,3,2,1,49.9,3,1,2,3,0,6,0,0,0,3,66.67,4.1,0,1,-1,8.11,92.59,100.7,63,51,55.26,46,37,55.42,37,27,57.81,8,1,17,10,0,14,28,30,48.28,0,4,0,0,0,8,5841
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000348' target='_blank'>2023-02-26</a>,National League,HCAP,LHC,away,Regular Season,Luca Cereda,Geoff Ward,,0,0,12.86,87.14,60,2,3,-1,54,1,2,-1,2,50,2.6,1,0,1,2,50,3.4,0,1,-1,5.71,88.89,94.6,67,47,58.77,45,33,57.69,35,27,56.45,10,0,22,5,1,14,23,29,44.23,1,5,0,0,0,10,9600
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000338' target='_blank'>2023-02-24</a>,National League,HCAP,HCD,home,Regular Season,Luca Cereda,Waltteri Immonen,OT,1,29.52,57.94,12.55,63.6,3,4,-1,48.5,2,4,-2,5,20,9.2,1,0,1,3,100,6,0,0,0,8.57,88.57,97.14,66,68,49.25,50,54,48.08,35,35,50,15,0,16,19,0,14,26,34,43.33,0,4,0,0,0,8,6775
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000330' target='_blank'>2023-02-18</a>,National League,HCAP,EHCB,away,Regular Season,Luca Cereda,Antti Törmänen,,3,20.14,64.86,15,60,4,1,3,52.7,3,1,2,2,50,1.3,1,0,1,3,100,6,0,0,0,10,96.43,106.43,56,60,48.28,44,46,48.89,31,28,52.54,12,1,12,16,2,14,22,32,40.74,0,5,0,0,0,10,6340
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000324' target='_blank'>2023-02-17</a>,National League,HCAP,HCFG,home,Regular Season,Luca Cereda,Christian Dubé,,0,24,32.28,43.72,60,2,4,-2,45.9,1,4,-3,5,20,8.1,1,0,1,3,100,6,0,0,0,7.69,89.66,97.35,55,46,54.46,41,36,53.25,26,30,46.43,15,0,14,6,0,10,28,28,50,0,4,0,0,0,8,6735
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000211' target='_blank'>2023-02-14</a>,National League,HCAP,SCB,home,Regular Season,Luca Cereda,Toni Söderholm,,0,0,43.89,56.11,60,2,4,-2,49,2,1,1,2,0,4,0,0,0,5,40,7,0,3,-3,6.67,85.19,91.85,61,60,50.41,43,42,50.59,30,27,52.63,13,0,18,13,2,18,24,27,47.06,0,7,0,0,0,14,6375
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000322' target='_blank'>2023-02-05</a>,National League,HCAP,ZSC,away,Regular Season,Luca Cereda,Marc Crawford,OT,2,0,85.17,14.83,64.8,2,1,1,57.5,2,1,1,3,0,5.3,0,0,0,1,100,2,0,0,0,8,96.3,104.3,58,56,50.88,33,35,48.53,25,27,48.08,8,0,25,7,1,21,27,30,47.37,0,2,0,0,0,4,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000309' target='_blank'>2023-02-03</a>,National League,HCAP,HCA,home,Regular Season,Luca Cereda,Julien Vauclair,OT,1,0,42.98,57.02,64.2,3,4,-1,58.1,2,4,-2,2,50,2.1,1,0,1,2,100,4,0,0,0,6.98,89.19,96.17,81,57,58.7,57,44,56.44,43,37,53.75,14,0,24,7,0,13,29,35,45.31,0,4,0,0,0,8,6698
