"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000361' target='_blank'>2023-03-04</a>,National League,HCA,GSHC,away,Regular Season,Julien Vauclair,Jan Cadieux,,0,0,22.47,77.53,60,2,3,-1,40.6,1,1,0,6,16.67,10.8,1,1,0,5,80,8.6,0,1,-1,13.33,91.89,105.23,26,59,30.59,18,45,28.57,15,37,28.85,3,0,8,6,2,14,25,31,44.64,0,5,0,0,0,10,6917
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000351' target='_blank'>2023-03-02</a>,National League,HCA,HCFG,home,Regular Season,Julien Vauclair,Christian Dubé,,0,0,2.11,97.89,60,0,4,-4,50,0,4,-4,2,0,4,0,0,0,3,100,6,0,0,0,0,90.48,90.48,36,63,36.36,22,53,29.33,14,42,25,7,1,14,11,0,10,21,23,47.73,0,4,0,0,0,8,4272
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000344' target='_blank'>2023-02-25</a>,National League,HCA,SCB,away,Regular Season,Julien Vauclair,Toni Söderholm,OT,2,36.82,16.61,46.58,64.7,3,2,1,50.8,3,2,1,4,0,8,0,0,0,3,100,6,0,0,0,9.09,96.43,105.52,58,92,38.67,42,67,38.53,33,56,37.08,9,0,16,10,1,25,26,32,44.83,0,3,0,0,0,6,15006
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000337' target='_blank'>2023-02-24</a>,National League,HCA,SCLT,home,Regular Season,Julien Vauclair,Thierry Paterlini,,3,40.56,59.44,0,60,1,0,1,51,1,0,1,1,0,5,0,0,0,2,100,4,0,0,0,5,100,105,37,69,34.91,28,50,35.9,20,36,35.71,7,1,9,14,0,19,12,28,30,1,3,0,0,0,6,4455
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000331' target='_blank'>2023-02-18</a>,National League,HCA,HCD,away,Regular Season,Julien Vauclair,Waltteri Immonen,,0,0,33.97,66.03,60,0,4,-4,43.4,0,3,-3,3,0,12,0,1,-1,3,100,4.6,0,0,0,0,86.21,86.21,37,58,38.95,24,42,36.36,20,29,40.82,4,0,13,13,0,16,23,27,46,1,2,1,0,1,29,4807
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000216' target='_blank'>2023-02-14</a>,National League,HCA,EVZ,away,Regular Season,Julien Vauclair,Dan Tangnes,,0,0,21.72,78.28,60,2,5,-3,51,1,3,-2,3,33.33,5.2,1,0,1,3,33.33,3.7,0,2,-2,8,88.89,96.89,45,72,38.46,31,57,35.23,25,37,40.32,5,1,14,16,4,15,26,35,42.62,0,3,0,0,0,6,6665
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000316' target='_blank'>2023-02-04</a>,National League,HCA,LHC,home,Regular Season,Julien Vauclair,Geoff Ward,OT,2,2.56,97.44,0,61.3,2,1,1,52.8,1,1,0,1,100,0.5,1,0,1,4,100,8,0,0,0,12.5,97.78,110.28,24,99,19.51,20,70,22.22,16,45,26.23,3,1,4,25,0,29,19,32,37.25,0,4,0,0,0,8,4878
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000309' target='_blank'>2023-02-03</a>,National League,HCA,HCAP,away,Regular Season,Julien Vauclair,Luca Cereda,OT,2,57.02,42.98,0,64.2,4,3,1,58.1,4,2,2,2,0,4,0,0,0,2,50,2.1,0,1,-1,10.81,93.02,103.83,57,81,41.3,44,57,43.56,37,43,46.25,7,0,13,14,0,24,35,29,54.69,0,4,0,0,0,8,6698
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000302' target='_blank'>2023-01-31</a>,National League,HCA,EHCK,home,Regular Season,Julien Vauclair,Tomlinson Jeff,,3,96.08,3.92,0,60,5,3,2,50.5,5,2,3,1,0,2,0,0,0,4,75,7.5,0,1,-1,15.38,91.89,107.28,43,74,36.75,36,51,41.38,27,37,42.19,8,1,7,14,0,23,34,28,54.84,0,4,0,0,0,8,3523
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000295' target='_blank'>2023-01-28</a>,National League,HCA,EHCB,home,Regular Season,Julien Vauclair,Antti Törmänen,,0,0,30.58,69.42,60,0,3,-3,47.1,0,3,-3,6,0,9.9,0,0,0,2,100,3,0,0,0,0,91.43,91.43,44,63,41.12,34,52,39.53,18,35,33.96,16,0,10,16,1,11,17,25,40.48,0,3,0,0,0,6,5178
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000293' target='_blank'>2023-01-27</a>,National League,HCA,HCL,away,Regular Season,Julien Vauclair,Luca Gianinazzi,,0,0,19.81,80.19,60,2,5,-3,46.5,1,4,-3,4,25,7.1,1,0,1,2,50,6.4,0,1,-1,9.09,88.64,97.73,49,66,42.61,32,56,36.36,22,44,33.33,10,0,17,12,0,10,17,28,37.78,0,3,1,0,0,11,4624
