"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000404' target='_blank'>2023-03-24</a>,National League,HCD,ZSC,away,Playoffs,Waltteri Immonen,Marc Crawford,,0,0,79.56,20.44,60,0,1,-1,41.3,0,1,-1,4,0,6.9,0,0,0,5,100,11.9,0,0,0,0,96,96,61,47,56.48,39,38,50.65,27,25,51.92,12,0,22,13,0,9,25,27,48.08,0,4,1,0,1,33,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000400' target='_blank'>2023-03-22</a>,National League,HCD,ZSC,home,Playoffs,Waltteri Immonen,Marc Crawford,OT,1,0,51.61,48.39,84.2,2,3,-1,71.2,1,3,-2,5,20,7,1,0,1,3,100,6,0,0,0,3.77,93.18,96.96,101,76,57.06,65,52,55.56,53,44,54.64,9,3,36,8,0,24,51,46,52.58,0,4,0,0,0,8,5174
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000396' target='_blank'>2023-03-19</a>,National League,HCD,ZSC,away,Playoffs,Waltteri Immonen,Marc Crawford,,0,17.28,40.33,42.39,60,2,3,-1,43.4,1,2,-1,4,25,5,1,0,1,8,87.5,11.6,0,1,-1,7.41,90.32,97.73,58,67,46.4,42,51,45.16,27,31,46.55,14,1,16,19,1,16,30,29,50.85,0,10,0,0,0,20,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000392' target='_blank'>2023-03-17</a>,National League,HCD,ZSC,home,Playoffs,Waltteri Immonen,Marc Crawford,,3,36.36,53.78,9.86,60,2,1,1,51.9,0,1,-1,4,50,6.2,2,0,2,1,100,2,0,0,0,5.56,96.15,101.71,81,48,62.79,62,35,63.92,36,26,58.06,26,0,19,9,0,13,26,42,38.24,0,2,0,0,0,4,6547
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000388' target='_blank'>2023-03-15</a>,National League,HCD,ZSC,away,Playoffs,Waltteri Immonen,Marc Crawford,,0,0,29,71,60,1,4,-3,44.1,1,2,-1,2,0,4,0,0,0,6,66.67,11.9,0,2,-2,3.85,84.62,88.46,58,65,47.15,44,50,46.81,26,26,50,18,0,14,24,0,15,32,24,57.14,0,7,0,0,0,14,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000359' target='_blank'>2023-03-04</a>,National League,HCD,EHCK,home,Regular Season,Waltteri Immonen,Tomlinson Jeff,,0,0,5.92,94.08,60,1,4,-3,53.8,1,3,-2,1,0,2,0,0,0,3,66.67,4.2,0,1,-1,4.35,85.19,89.53,48,38,55.81,39,35,52.7,23,27,46,16,0,9,8,0,3,29,29,50,0,3,0,0,0,6,6547
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000356' target='_blank'>2023-03-02</a>,National League,HCD,ZSC,away,Regular Season,Waltteri Immonen,Marc Crawford,,0,0,29.75,70.25,60,1,4,-3,40.1,1,3,-2,7,0,11.8,0,0,0,5,80,8.1,0,1,-1,2.22,84.21,86.43,76,38,66.67,54,25,68.35,45,20,69.23,9,0,22,4,1,13,28,24,53.85,0,7,0,0,0,14,12000
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000261' target='_blank'>2023-02-28</a>,National League,HCD,HCAP,home,Regular Season,Waltteri Immonen,Luca Cereda,,0,90.94,4.83,4.22,60,2,3,-1,49.9,1,3,-2,3,33.33,4.1,1,0,1,3,100,6,0,0,0,7.41,91.89,99.3,51,63,44.74,37,46,44.58,27,37,42.19,10,0,14,8,1,17,30,28,51.72,0,4,0,0,0,8,5841
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000345' target='_blank'>2023-02-25</a>,National League,HCD,HCL,home,Regular Season,Waltteri Immonen,Luca Gianinazzi,SO,1,42.03,57.97,0,65,2,3,-1,58,0,2,-2,3,66.67,3,2,0,2,2,100,4,0,0,0,7.69,93.55,101.24,52,55,48.6,42,45,48.28,26,31,45.61,15,1,10,12,2,10,28,24,53.85,1,2,0,0,0,4,6547
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000338' target='_blank'>2023-02-24</a>,National League,HCD,HCAP,away,Regular Season,Waltteri Immonen,Luca Cereda,OT,2,12.55,57.94,29.52,63.6,4,3,1,48.5,4,2,2,3,0,6,0,0,0,5,80,9.2,0,1,-1,11.43,91.43,102.86,68,66,50.75,54,50,51.92,35,35,50,19,0,14,15,0,16,34,26,56.67,0,6,0,0,0,12,6775
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000228' target='_blank'>2023-02-21</a>,National League,HCD,LHC,home,Regular Season,Waltteri Immonen,Geoff Ward,,0,0,55.92,44.08,60,0,2,-2,50,0,2,-2,3,0,6,0,0,0,2,100,4,0,0,0,0,93.33,93.33,42,60,41.18,30,41,42.25,18,30,37.5,11,1,12,11,0,19,29,25,53.7,0,3,0,0,0,6,5080
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000331' target='_blank'>2023-02-18</a>,National League,HCD,HCA,home,Regular Season,Waltteri Immonen,Julien Vauclair,,3,66.03,33.97,0,60,4,0,4,43.4,3,0,3,3,0,4.6,0,0,0,3,100,12,1,0,1,13.79,100,113.79,58,37,61.05,42,24,63.64,29,20,59.18,13,0,16,4,0,13,27,23,54,0,1,2,0,2,52,4807
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000327' target='_blank'>2023-02-17</a>,National League,HCD,SCRJ,away,Regular Season,Waltteri Immonen,Stefan Hedlund,,3,60.39,39.61,0,60,4,2,2,50,4,2,2,3,0,6,0,0,0,2,100,4,0,0,0,8.57,89.47,98.05,55,47,53.92,41,28,59.42,36,19,65.45,5,0,14,9,0,19,23,28,45.1,0,2,0,0,0,4,6100
