"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000367' target='_blank'>2023-03-09</a>,National League,HCFG,HCL,away,Playoffs,Christian Dubé,Luca Gianinazzi,,0,0,57.83,42.17,60,0,2,-2,56.7,0,1,-1,1,0,2,0,0,0,1,0,1.3,0,1,-1,0,96.67,96.67,60,50,54.55,35,39,47.3,25,31,44.64,10,0,25,7,1,11,27,24,52.94,0,2,0,0,0,4,6110
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000365' target='_blank'>2023-03-07</a>,National League,HCFG,HCL,home,Playoffs,Christian Dubé,Luca Gianinazzi,,0,0,58,42,60,1,2,-1,40.3,0,2,-2,6,16.67,10.7,1,0,1,3,100,9,0,0,0,3.23,90,93.23,69,41,62.73,51,31,62.2,31,20,60.78,19,1,18,11,0,10,24,21,53.33,0,3,1,0,1,31,8947
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000360' target='_blank'>2023-03-04</a>,National League,HCFG,SCLT,home,Regular Season,Christian Dubé,Thierry Paterlini,,3,61.17,38.83,0,60,6,0,6,50.1,1,0,1,6,83.33,5.4,5,0,5,3,100,4.6,0,0,0,14.63,100,114.63,68,49,58.12,53,31,63.1,41,25,62.12,11,1,15,6,0,18,27,29,48.21,0,4,0,0,0,8,9009
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000351' target='_blank'>2023-03-02</a>,National League,HCFG,HCA,away,Regular Season,Christian Dubé,Julien Vauclair,,3,97.89,2.11,0,60,4,0,4,50,4,0,4,3,0,6,0,0,0,2,100,4,0,0,0,9.52,100,109.52,63,36,63.64,53,22,70.67,42,14,75,11,0,10,7,1,14,23,21,52.27,0,3,0,0,0,6,4272
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000119' target='_blank'>2023-02-28</a>,National League,HCFG,EVZ,away,Regular Season,Christian Dubé,Dan Tangnes,,0,0,16,84,60,2,4,-2,52.7,0,3,-3,3,66.67,4.7,2,0,2,2,50,2.6,0,1,-1,5.71,91.67,97.38,77,55,58.33,52,47,52.53,35,37,48.61,13,4,25,10,0,8,24,27,47.06,0,2,0,0,0,4,6834
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000346' target='_blank'>2023-02-25</a>,National League,HCFG,SCRJ,home,Regular Season,Christian Dubé,Stefan Hedlund,,0,4.36,33.83,61.81,60,2,6,-4,49.5,1,4,-3,3,33.33,5.7,1,0,1,3,33.33,4.8,0,2,-2,5.41,83.33,88.74,62,58,51.67,47,38,55.29,37,31,54.41,8,2,15,7,0,20,31,24,56.36,0,3,0,0,0,6,9009
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000339' target='_blank'>2023-02-24</a>,National League,HCFG,EHCB,away,Regular Season,Christian Dubé,Antti Törmänen,,0,0,26.36,73.64,60,0,3,-3,50,0,1,-1,3,0,4.4,0,0,0,3,33.33,5.6,0,2,-2,0,76.92,76.92,65,38,63.11,51,21,70.83,30,13,69.77,20,1,14,7,1,17,25,14,64.1,0,5,0,0,0,10,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000332' target='_blank'>2023-02-18</a>,National League,HCFG,LHC,home,Regular Season,Christian Dubé,Geoff Ward,,0,0,32.28,67.72,60,2,3,-1,49.5,2,3,-1,3,0,6,0,0,0,3,100,4.5,0,0,0,6.9,87.5,94.4,58,47,55.24,39,34,53.42,29,24,54.72,9,1,19,8,2,13,33,28,54.1,0,3,0,0,0,6,9009
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000324' target='_blank'>2023-02-17</a>,National League,HCFG,HCAP,away,Regular Season,Christian Dubé,Luca Cereda,,3,43.72,32.28,24,60,4,2,2,45.9,4,1,3,3,0,6,0,0,0,5,80,8.1,0,1,-1,10.34,92.31,102.65,46,55,45.54,36,41,46.75,30,26,53.57,6,0,10,15,0,14,28,28,50,0,3,1,0,0,11,6735
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000214' target='_blank'>2023-02-14</a>,National League,HCFG,EHCK,home,Regular Season,Christian Dubé,Tomlinson Jeff,SO,1,0,45.38,54.62,65,3,4,-1,53.2,3,3,0,3,0,6,0,0,0,3,100,5.8,0,0,0,9.38,88.89,98.26,66,51,56.41,48,33,59.26,32,27,54.24,16,0,18,6,0,18,21,24,46.67,0,3,0,0,0,6,8889
