"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000363' target='_blank'>2023-03-04</a>,National League,LHC,EVZ,home,Regular Season,Geoff Ward,Dan Tangnes,,0,0,4.5,95.5,60,0,5,-5,44.4,0,4,-4,2,0,3.6,0,0,0,7,85.71,12.1,0,1,-1,0,85.71,85.71,46,59,43.81,34,46,42.5,28,35,44.44,6,0,12,10,1,13,33,24,57.89,0,8,0,0,0,16,9208
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000353' target='_blank'>2023-03-02</a>,National League,LHC,EHCB,away,Regular Season,Geoff Ward,Antti Törmänen,,0,0,3.19,96.81,60,1,8,-7,52.3,0,5,-5,2,50,2.4,1,0,1,6,50,5.3,0,3,-3,2.63,61.9,64.54,68,40,62.96,51,30,62.96,38,21,64.41,13,0,17,9,0,10,28,35,44.44,1,5,0,0,0,10,5681
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000292' target='_blank'>2023-02-28</a>,National League,LHC,SCRJ,home,Regular Season,Geoff Ward,Stefan Hedlund,,3,18.56,51.22,30.22,60,3,2,1,51,3,1,2,2,0,4,0,0,0,3,66.67,5,0,1,-1,7.69,90.91,98.6,70,53,56.91,59,38,60.82,39,22,63.93,20,0,11,16,0,15,26,22,54.17,0,4,0,0,0,8,7612
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000348' target='_blank'>2023-02-26</a>,National League,LHC,HCAP,home,Regular Season,Geoff Ward,Luca Cereda,,3,87.14,12.86,0,60,3,2,1,54,2,1,1,2,50,3.4,1,0,1,2,50,2.6,0,1,-1,11.11,94.29,105.4,47,67,41.23,33,45,42.31,27,35,43.55,5,1,14,10,0,22,29,23,55.77,0,5,0,0,0,10,9600
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000340' target='_blank'>2023-02-24</a>,National League,LHC,EHCK,away,Regular Season,Geoff Ward,Tomlinson Jeff,SO,2,25.95,67.03,7.03,65,3,2,1,54.1,2,1,1,4,0,8,0,0,0,2,50,2.9,0,1,-1,5.41,92.31,97.71,71,58,55.04,51,44,53.68,37,26,58.73,12,2,20,18,0,14,28,30,48.28,0,2,0,0,0,4,5769
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000228' target='_blank'>2023-02-21</a>,National League,LHC,HCD,away,Regular Season,Geoff Ward,Waltteri Immonen,,3,44.08,55.92,0,60,2,0,2,50,2,0,2,2,0,4,0,0,0,3,100,6,0,0,0,6.67,100,106.67,60,42,58.82,41,30,57.75,30,18,62.5,11,0,19,11,1,12,25,29,46.3,0,4,0,0,0,8,5080
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000332' target='_blank'>2023-02-18</a>,National League,LHC,HCFG,away,Regular Season,Geoff Ward,Christian Dubé,,3,67.72,32.28,0,60,3,2,1,49.5,3,2,1,3,0,4.5,0,0,0,3,100,6,0,0,0,12.5,93.1,105.6,47,58,44.76,34,39,46.58,24,29,45.28,8,2,13,9,1,19,28,33,45.9,0,3,0,0,0,6,9009
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000328' target='_blank'>2023-02-17</a>,National League,LHC,GSHC,home,Regular Season,Geoff Ward,Jan Cadieux,,0,1.36,24.64,74,60,2,6,-4,44.4,2,3,-1,5,0,8.5,0,1,-1,5,60,7.1,0,2,-2,8,75,83,46,48,48.94,34,36,48.57,25,24,51.02,9,0,12,11,1,12,22,26,45.83,0,5,0,0,0,10,9600
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000215' target='_blank'>2023-02-14</a>,National League,LHC,HCL,home,Regular Season,Geoff Ward,Luca Gianinazzi,,3,93.89,6.11,0,60,4,0,4,54.9,3,0,3,1,100,1.1,1,0,1,2,100,4,0,0,0,12,100,112,46,57,44.66,38,40,48.72,26,28,48.15,10,2,8,11,1,17,19,27,41.3,0,2,0,0,0,4,5970
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000316' target='_blank'>2023-02-04</a>,National League,LHC,HCA,away,Regular Season,Geoff Ward,Julien Vauclair,OT,1,0,97.44,2.56,61.3,1,2,-1,52.8,1,1,0,4,0,8,0,0,0,1,0,0.5,0,1,-1,2.22,87.5,89.72,99,24,80.49,70,20,77.78,45,16,73.77,25,0,29,3,1,4,32,19,62.75,0,1,0,0,0,2,4878
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000313' target='_blank'>2023-02-03</a>,National League,LHC,HCD,home,Regular Season,Geoff Ward,Waltteri Immonen,SO,2,85,15,0,65,5,4,1,50,3,3,0,5,20,8.5,1,0,1,5,80,6.5,0,1,-1,14.29,85.19,99.47,48,66,42.11,35,38,47.95,28,27,50.91,6,1,13,11,0,28,35,26,57.38,0,4,0,0,0,8,7220
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000303' target='_blank'>2023-01-31</a>,National League,LHC,SCB,away,Regular Season,Geoff Ward,Toni Söderholm,,3,65.11,34.89,0,60,4,1,3,47.4,2,1,1,2,50,2.9,1,0,1,5,100,9.7,1,0,1,10.34,96.55,106.9,51,59,46.36,39,37,51.32,30,29,50.85,9,0,12,8,0,22,23,20,53.49,0,5,0,0,0,10,13692
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000301' target='_blank'>2023-01-28</a>,National League,LHC,ZSC,away,Regular Season,Geoff Ward,Marc Crawford,,3,65.39,34.61,0,60,3,1,2,50,3,1,2,2,0,4,0,0,0,3,100,6,0,0,0,11.54,95.83,107.37,57,50,53.27,43,39,52.44,26,24,52,16,1,14,14,1,11,30,24,55.56,0,3,0,0,0,6,10712
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000286' target='_blank'>2023-01-21</a>,National League,LHC,SCLT,away,Regular Season,Geoff Ward,Thierry Paterlini,OT,2,38.51,52.56,8.93,62.1,5,4,1,52.9,4,3,1,3,33.33,4.3,1,0,1,3,66.67,4.9,0,1,-1,13.51,84,97.51,83,50,62.41,59,36,62.11,37,25,59.68,21,1,24,11,0,14,28,24,53.85,0,4,0,0,0,8,5151
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000278' target='_blank'>2023-01-20</a>,National League,LHC,SCLT,home,Regular Season,Geoff Ward,Thierry Paterlini,,3,84.89,15.11,0,60,5,0,5,52,5,0,5,3,0,6,0,0,0,1,100,2,0,0,0,8.89,100,108.89,84,30,73.68,68,20,77.27,46,15,75.41,21,1,16,5,0,10,26,33,44.07,0,1,0,0,0,2,6330
