"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000406' target='_blank'>2023-03-26</a>,National League,SCB,EHCB,home,Playoffs,Toni Söderholm,Antti Törmänen,,0,23.92,39,37.08,60,3,4,-1,51.2,2,3,-1,3,33.33,4.9,1,0,1,2,50,3.9,0,1,-1,8.82,84,92.82,61,46,57.01,42,32,56.76,34,25,57.63,8,0,19,7,0,14,25,25,50,0,2,0,0,0,4,17031
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000402' target='_blank'>2023-03-24</a>,National League,SCB,EHCB,away,Playoffs,Toni Söderholm,Antti Törmänen,,0,0,0.94,99.06,60,1,3,-2,45.4,0,2,-2,3,33.33,5.3,1,0,1,5,80,9.3,0,1,-1,2.94,92.86,95.8,64,53,54.7,45,37,54.88,34,29,53.97,9,2,19,7,1,16,21,33,38.89,0,5,0,0,0,10,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000398' target='_blank'>2023-03-21</a>,National League,SCB,EHCB,home,Playoffs,Toni Söderholm,Antti Törmänen,,3,38.58,60.81,0.61,60,3,2,1,55.7,2,2,0,2,50,2.3,1,0,1,1,100,2,0,0,0,10.71,91.67,102.38,59,50,54.13,37,30,55.22,28,24,53.85,9,0,22,6,0,20,20,24,45.45,0,1,0,0,0,2,17031
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000394' target='_blank'>2023-03-18</a>,National League,SCB,EHCB,away,Playoffs,Toni Söderholm,Antti Törmänen,,3,25.86,51.58,22.56,60,5,3,2,48.9,4,3,1,4,25,7.1,1,0,1,3,100,4,0,0,0,12.5,90,102.5,61,56,52.14,43,35,55.13,33,30,52.38,10,0,18,5,0,21,18,26,40.91,0,3,0,0,0,6,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000390' target='_blank'>2023-03-16</a>,National League,SCB,EHCB,home,Playoffs,Toni Söderholm,Antti Törmänen,,0,20.03,4.03,75.94,60,2,4,-2,54,2,3,-1,1,0,2,0,0,0,3,66.67,4,0,1,-1,6.9,83.33,90.23,59,40,59.6,41,30,57.75,29,24,54.72,10,2,18,6,0,10,22,24,47.83,0,6,1,0,1,37,16179
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000386' target='_blank'>2023-03-14</a>,National League,SCB,EHCB,away,Playoffs,Toni Söderholm,Antti Törmänen,,0,0,5.58,94.42,60,0,3,-3,45,0,2,-2,3,0,6,0,1,-1,5,100,9,0,0,0,0,88,88,48,50,48.98,35,36,49.3,29,25,53.7,5,1,13,10,1,14,22,24,47.83,0,6,0,0,0,12,6562
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000370' target='_blank'>2023-03-11</a>,National League,SCB,EHCK,home,Playoffs,Toni Söderholm,Tomlinson Jeff,,3,64.58,35.42,0,60,5,0,5,43.1,5,0,5,7,0,12.9,0,0,0,2,100,4,0,0,0,9.38,100,109.38,76,43,63.87,60,29,67.42,34,20,62.96,24,2,16,8,1,14,32,24,57.14,0,2,0,0,0,4,17031
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000368' target='_blank'>2023-03-09</a>,National League,SCB,EHCK,away,Playoffs,Toni Söderholm,Tomlinson Jeff,,0,0,38.56,61.44,60,1,4,-3,44.9,0,1,-1,3,33.33,5.2,1,0,1,6,50,9.9,0,3,-3,3.23,85,88.23,60,57,51.28,46,34,57.5,31,21,59.62,14,1,14,13,0,23,28,31,47.46,0,8,1,0,0,21,7135
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000366' target='_blank'>2023-03-07</a>,National League,SCB,EHCK,home,Playoffs,Toni Söderholm,Tomlinson Jeff,,3,61.61,29.53,8.86,60,5,1,4,46,2,0,2,5,60,7.3,3,0,3,5,80,6.7,0,1,-1,13.16,96.43,109.59,66,54,55,52,40,56.52,38,28,57.58,14,0,14,12,0,14,22,25,46.81,0,7,0,0,0,14,14824
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000358' target='_blank'>2023-03-04</a>,National League,SCB,ZSC,home,Regular Season,Toni Söderholm,Marc Crawford,,3,90.81,9.19,0,60,4,1,3,55.6,3,0,3,1,100,0.5,1,0,1,2,50,3.8,0,1,-1,13.79,96.3,110.09,59,58,50.43,44,34,56.41,29,27,51.79,14,1,15,6,1,24,27,22,55.1,0,2,0,0,0,4,16427
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000355' target='_blank'>2023-03-02</a>,National League,SCB,SCLT,away,Regular Season,Toni Söderholm,Thierry Paterlini,,3,50.39,49.61,0,60,3,1,2,46.8,2,1,1,4,25,7.2,1,0,1,3,100,6,0,0,0,5,96.43,101.43,72,58,55.38,49,33,59.76,41,28,59.42,7,1,23,5,0,25,29,28,50.88,0,3,0,0,0,6,5946
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000344' target='_blank'>2023-02-25</a>,National League,SCB,HCA,home,Regular Season,Toni Söderholm,Julien Vauclair,OT,1,46.58,16.61,36.82,64.7,2,3,-1,50.8,2,3,-1,3,0,6,0,0,0,4,100,8,0,0,0,3.57,90.91,94.48,92,58,61.33,67,42,61.47,56,33,62.92,10,1,25,9,0,16,32,26,55.17,0,4,0,0,0,8,15006
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000341' target='_blank'>2023-02-24</a>,National League,SCB,SCRJ,away,Regular Season,Toni Söderholm,Stefan Hedlund,,0,0,18.39,81.61,60,2,6,-4,51.4,2,5,-3,3,0,6,0,0,0,2,50,2.6,0,1,-1,9.09,82.35,91.44,47,52,47.47,33,42,44,22,34,39.29,11,0,14,7,1,10,23,34,40.35,0,2,0,0,0,4,5652
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000325' target='_blank'>2023-02-19</a>,National League,SCB,HCL,home,Regular Season,Toni Söderholm,Luca Gianinazzi,SO,1,0,75.82,24.18,65,1,2,-1,53.3,0,1,-1,4,25,7.7,1,0,1,2,100,4,0,0,0,2.94,96.3,99.24,76,54,58.46,52,38,57.78,34,27,55.74,18,0,24,8,3,16,24,25,48.98,0,2,0,0,0,4,14131
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000333' target='_blank'>2023-02-18</a>,National League,SCB,GSHC,away,Regular Season,Toni Söderholm,Jan Cadieux,,0,24.58,14.03,61.39,60,2,5,-3,48.4,1,4,-3,4,25,7.6,1,0,1,2,50,4,0,1,-1,8,88.46,96.46,45,50,47.37,35,35,50,25,28,47.17,10,0,10,5,2,15,18,25,41.86,0,2,0,0,0,4,6827
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000211' target='_blank'>2023-02-14</a>,National League,SCB,HCAP,away,Regular Season,Toni Söderholm,Luca Cereda,,3,56.11,43.89,0,60,4,2,2,49,1,2,-1,5,60,7,3,0,3,2,100,4,0,0,0,14.81,93.33,108.15,60,61,49.59,42,43,49.41,27,30,47.37,13,2,18,13,0,18,27,24,52.94,0,4,0,1,0,18,6375
