"Date","League","Team","Opp.","Venue","Phase","Coach","Opp. coach","OT/SO","PTS","Leading%","Tied%","Trailing%","TOI","GF","GA","G±","EQ TOI","EQ GF","EQ GA","EQ G±","PP OP","PP%","PP TOI","PP GF","PP GA","PP G±","SH SI","PK%","SH TOI","SH GF","SH GA","SH G±","SH%","SV%","PDO","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spectators"
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000376' target='_blank'>2023-03-25</a>,National League,SCLT,HCA,away,Playout,Thierry Paterlini,Julien Vauclair,OT,2,14.32,59.51,26.18,93.7,5,4,1,77.8,3,3,0,4,50,4.7,2,0,2,6,83.33,11.2,0,1,-1,8.62,90.24,98.86,109,75,59.24,75,56,57.25,58,41,58.59,15,2,34,14,1,19,48,49,49.48,0,6,0,0,0,12,5178
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000375' target='_blank'>2023-03-23</a>,National League,SCLT,HCA,home,Playout,Thierry Paterlini,Julien Vauclair,OT,2,0,56.51,43.49,78.4,3,2,1,70.4,3,1,2,1,0,2,0,0,0,3,66.67,6,0,1,-1,6.25,94.12,100.37,111,56,66.47,78,46,62.9,48,34,58.54,30,0,33,12,0,10,38,40,48.72,0,4,0,0,0,8,4786
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000374' target='_blank'>2023-03-21</a>,National League,SCLT,HCA,away,Playout,Thierry Paterlini,Julien Vauclair,,0,0,12.19,87.81,60,1,2,-1,54,1,1,0,2,0,2.9,0,0,0,3,66.67,3.1,0,1,-1,2.63,92,94.63,83,48,63.36,55,37,59.78,38,25,60.32,16,1,28,10,2,11,38,24,61.29,0,3,0,0,0,6,4531
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000373' target='_blank'>2023-03-18</a>,National League,SCLT,HCA,home,Playout,Thierry Paterlini,Julien Vauclair,,0,0,54.36,45.64,60,1,3,-2,44,1,3,-2,4,0,8,0,0,0,5,100,8,0,0,0,3.57,91.18,94.75,70,61,53.44,44,45,49.44,28,34,45.16,14,2,26,10,1,16,28,31,47.46,0,6,1,0,1,37,5459
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000372' target='_blank'>2023-03-16</a>,National League,SCLT,HCA,away,Playout,Thierry Paterlini,Julien Vauclair,,3,51.67,48.33,0,60,2,0,2,50.4,1,0,1,2,50,3.6,1,0,1,3,100,6,0,0,0,6.06,100,106.06,57,78,42.22,40,43,48.19,33,31,51.56,7,0,17,11,1,35,28,26,51.85,0,3,0,0,0,6,4076
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000371' target='_blank'>2023-03-14</a>,National League,SCLT,HCA,home,Playout,Thierry Paterlini,Julien Vauclair,,3,80.03,19.97,0,60,4,0,4,49.9,3,0,3,3,33.33,4.1,1,0,1,3,100,6,0,0,0,10.53,100,110.53,65,62,51.18,48,45,51.61,38,36,51.35,10,0,17,9,0,17,26,27,49.06,0,4,1,0,1,33,4545
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000360' target='_blank'>2023-03-04</a>,National League,SCLT,HCFG,away,Regular Season,Thierry Paterlini,Christian Dubé,,0,0,38.83,61.17,60,0,6,-6,50.1,0,1,-1,3,0,4.6,0,0,0,6,16.67,5.4,0,5,-5,0,85.37,85.37,49,68,41.88,31,53,36.9,25,41,37.88,6,0,18,11,1,15,29,27,51.79,0,7,0,0,0,14,9009
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000355' target='_blank'>2023-03-02</a>,National League,SCLT,SCB,home,Regular Season,Thierry Paterlini,Toni Söderholm,,0,0,49.61,50.39,60,1,3,-2,46.8,1,2,-1,3,0,6,0,0,0,4,75,7.2,0,1,-1,3.57,95,98.57,58,72,44.62,33,49,40.24,28,41,40.58,5,0,25,7,1,23,28,29,49.12,0,4,0,0,0,8,5946
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000349' target='_blank'>2023-02-25</a>,National League,SCLT,EHCK,home,Regular Season,Thierry Paterlini,Tomlinson Jeff,,0,0,22.58,77.42,60,1,3,-2,47.5,1,0,1,3,0,5.6,0,0,0,5,40,6.9,0,3,-3,3.33,88,91.33,71,56,55.91,43,37,53.75,30,25,54.55,11,2,28,11,1,19,39,22,63.93,0,5,0,0,0,10,5704
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000337' target='_blank'>2023-02-24</a>,National League,SCLT,HCA,away,Regular Season,Thierry Paterlini,Julien Vauclair,,0,0,59.44,40.56,60,0,1,-1,51,0,1,-1,2,0,4,0,0,0,1,100,5,0,0,0,0,95,95,69,37,65.09,50,28,64.1,36,20,64.29,14,0,19,7,1,9,28,12,70,0,1,1,0,0,7,4455
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000252' target='_blank'>2023-02-22</a>,National League,SCLT,EVZ,away,Regular Season,Thierry Paterlini,Dan Tangnes,,0,4.86,30.11,65.03,60,2,5,-3,54,2,5,-3,1,0,2,0,0,0,2,100,4,0,0,0,9.52,88.89,98.41,42,68,38.18,32,52,38.1,21,37,36.21,10,1,10,13,2,16,28,30,48.28,0,3,0,0,0,6,6940
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000334' target='_blank'>2023-02-18</a>,National League,SCLT,HCL,away,Regular Season,Thierry Paterlini,Luca Gianinazzi,OT,2,0,36.91,63.09,63.7,3,2,1,57.7,3,2,1,1,0,2,0,0,0,2,100,4,0,0,0,12,95.83,107.83,47,84,35.88,32,67,32.32,25,48,34.25,7,0,15,17,2,17,30,26,53.57,0,4,0,0,0,8,4814
<a href='https://www.sihf.ch/de/game-center/game/#/20231105000329' target='_blank'>2023-02-17</a>,National League,SCLT,EVZ,home,Regular Season,Thierry Paterlini,Dan Tangnes,SO,1,29.15,70.85,0,65,2,3,-1,52.7,2,1,1,3,0,6,0,0,0,4,75,6.3,0,1,-1,9.52,94.87,104.4,56,80,41.18,35,56,38.46,21,39,35,13,1,21,15,2,24,28,31,47.46,0,4,0,0,0,8,5113
