"Goaltender","Team","Season","League","Age","Licence","GP","TOI","GA","SVS","SA","SV%","GSAA","SV%+","GAA","SO","BtB","G1","G2","%start","OUT","IN","%OUT","PIM"
Huet Ewan,LHC,2022/2023,National League,17,CH,5,9.82,0,2,2,100,0.18,,0,0,0,0,5,0,0,1,,0
Zumbühl Robin,ZSC,2022/2023,National League,24,CH,6,32.55,0,15,15,100,1.37,,0,0,0,0,6,0,0,1,,0
Paupe Elien,EHCB,2022/2023,National League,27,CH,1,60.82,1,18,19,94.74,0.73,173.39,0.99,0,0,1,0,100,0,0,0,0
Perrin Loic,HCFG,2022/2023,National League,18,CH,4,52.22,1,15,16,93.75,0.46,146.01,1.15,0,0,0,4,0,0,1,,0
Hrubec Simon,ZSC,2022/2023,National League,31,F,35,1936.52,72,908,980,92.65,17.43,124.21,2.23,4,3,33,2,94.29,2,0,6.06,2
Säteri Harri,EHCB,2022/2023,National League,33,F,38,2019.08,77,919,996,92.27,13.89,118.04,2.29,7,8,35,3,92.11,3,0,8.57,0
Senn Gilles,HCD,2022/2023,National League,26,CH,42,991.05,37,435,472,92.16,6.07,116.42,2.24,3,0,16,26,38.1,0,1,0,2
Boltshauser Luca,SCLT,2022/2023,National League,29,CH,50,2087.97,95,1082,1177,91.93,12.41,113.07,2.73,0,6,36,14,72,2,0,5.56,6
Juvonen Janne,HCAP,2022/2023,National League,28,F,36,1958.67,87,965,1052,91.73,9,110.35,2.67,1,3,33,3,91.67,2,0,6.06,2
Nyffeler Melvin,SCRJ,2022/2023,National League,28,CH,49,2472.45,94,1010,1104,91.49,6.75,107.18,2.28,5,7,41,8,83.67,4,1,9.76,2
Aeschlimann Sandro,HCD,2022/2023,National League,28,CH,52,2190.03,89,951,1040,91.44,5.91,106.64,2.44,2,7,36,16,69.23,1,0,2.78,6
Waeber Ludovic,ZSC,2022/2023,National League,26,CH,40,1080.38,45,481,526,91.44,3,106.67,2.5,2,2,18,22,45,1,1,5.56,0
Berra Reto,HCFG,2022/2023,National League,35,CH,18,937.58,35,368,403,91.32,1.78,105.08,2.24,2,1,16,2,88.89,1,0,6.25,2
Mayer Robert,GSHC,2022/2023,National League,33,CH,44,1455.55,56,589,645,91.32,2.86,105.11,2.31,1,3,23,21,52.27,1,2,4.35,2
Metsola Juha,EHCK,2022/2023,National League,33,F,49,2091.07,101,1051,1152,91.23,4.13,104.09,2.9,1,5,35,14,71.43,3,2,8.57,0
Wüthrich Philip,SCB,2022/2023,National League,24,CH,52,2606.55,115,1187,1302,91.17,3.82,103.32,2.65,2,11,43,9,82.69,1,1,2.33,2
Laurikainen Eetu,LHC,2022/2023,National League,29,F,14,798.07,30,309,339,91.15,0.94,103.12,2.26,3,2,14,0,100,2,0,14.29,0
Punnenovs Ivars,LHC,2022/2023,National League,28,CH,46,1894,92,928,1020,90.98,1.08,101.18,2.91,1,7,32,14,69.57,4,2,12.5,2
Charlin Stéphane,SCLT,2022/2023,National League,22,CH,49,996.9,57,572,629,90.94,0.4,100.71,3.43,1,0,15,34,30.61,0,3,0,2
Wolf Tim,HCA,2022/2023,National League,30,CH,48,1657.97,91,911,1002,90.92,0.44,100.49,3.29,0,2,27,21,56.25,1,3,3.7,2
Hughes Connor,HCFG,2022/2023,National League,26,CH,51,1967.33,76,745,821,90.74,-1.08,98.58,2.32,1,9,35,16,68.63,4,1,11.43,0
Meyer Robin,SCRJ,2022/2023,National League,22,CH,51,662.77,31,296,327,90.52,-1.16,96.26,2.81,2,1,11,40,21.57,2,4,18.18,0
Descloux Gauthier,GSHC,2022/2023,National League,26,CH,46,1690.32,78,723,801,90.26,-4.9,93.72,2.77,0,2,29,17,63.04,2,1,6.9,0
Rytz Simon,EHCB,2022/2023,National League,39,CH,44,703.42,32,296,328,90.24,-2.07,93.54,2.73,0,1,10,34,22.73,1,4,10,0
van Pottelberghe Joren,EHCB,2022/2023,National League,25,CH,10,354.47,17,156,173,90.17,-1.21,92.87,2.88,0,0,6,4,60,1,0,16.67,0
Schlegel Niklas,HCL,2022/2023,National League,28,CH,52,1211.32,56,506,562,90.04,-4.71,91.59,2.77,1,4,19,33,36.54,1,3,5.26,0
Koskinen Mikko,HCL,2022/2023,National League,34,F,33,1886.18,92,824,916,89.96,-8.41,90.86,2.93,2,4,33,0,100,3,0,9.09,14
Genoni Leonardo,EVZ,2022/2023,National League,35,CH,52,2497.75,111,977,1088,89.8,-11.71,89.45,2.67,4,7,42,10,80.77,1,1,2.38,2
Ciaccio Damiano,HCA,2022/2023,National League,33,CH,48,1467.45,87,759,846,89.72,-9.79,88.74,3.56,1,1,25,23,52.08,3,1,12,0
