"Team","Season","GP","TOI","GF%","xGF%","CF%","FF%","SF%","GF","GA","GF/60","GA/60","GF EN","GA EN","xGF","xGA","xGF/60","xGA/60","CF","CA","CF/60","CA/60","FF","FA","FF/60","FA/60","SF","SA","SF/60","SA/60","Pace/60","SH%","SV%","PDO","fSH%","fSV%","CF% Slot","CF Slot","CA Slot","CF Slot/60","CA Slot/60","CF F %","CF D %","CA F %","CA D %","CF On Target %","CA On Target %","Avg. CF dist.","Avg. CA dist.","Avg. GF dist.","Avg. GF EN dist.","Avg. GA dist.","Avg. GA EN dist."
"EHCB","2019/2020","50","3011.42","51.52","48.12","46.46","46.62","47.87","138.85","130.66","2.77","2.6","8.41","5.04","132.53","142.89","2.64","2.85","2486.07","2865.13","49.53","57.09","1909.94","2186.5","38.05","43.56","1380.89","1503.53","27.51","29.96","106.62","10.06","91.31","101.36","7.27","94.02","49.58","1053","1071","20.98","21.34","64.43","35.57","65.18","34.82","55.54","52.48","11.77","11.99","6.59","14.29","7.15","20.21"
"EVZ","2019/2020","50","3009.83","54.9","52.21","52.96","52.58","52.55","137.95","113.32","2.75","2.26","3.35","6.03","135.32","123.87","2.7","2.47","2827.51","2511.79","56.37","50.07","2158.09","1946.04","43.02","38.79","1489.68","1345.21","29.7","26.82","106.44","9.26","91.58","100.84","6.39","94.18","52.78","1044","934","20.81","18.62","66.23","33.77","66.43","33.57","52.69","53.56","11.58","11.96","6.87","17.62","6.75","18.38"
"GSHC","2019/2020","50","3006.58","53.28","51.44","50.86","51.08","50.35","123.31","108.12","2.46","2.16","10.83","4.69","128.39","121.19","2.56","2.42","2705.61","2614.25","53.99","52.17","2109.86","2020.93","42.1","40.33","1459.63","1439.06","29.13","28.72","106.16","8.45","92.49","100.93","5.84","94.65","52.27","1049","958","20.93","19.12","59.75","40.25","62.76","37.24","53.95","55.05","11.86","12.33","6.73","15.33","7.44","28.89"
"HCAP","2019/2020","50","3007.43","47.63","47.49","50.68","49.42","49.94","109.15","120.03","2.18","2.39","5.75","7.8","113.06","124.99","2.26","2.49","2810.94","2735.29","56.08","54.57","2035.72","2083.64","40.61","41.57","1451.06","1454.39","28.95","29.02","110.65","7.52","91.75","99.27","5.36","94.24","44.66","786","974","15.68","19.43","57.54","42.46","63.29","36.71","51.62","53.17","13.51","12.18","7.62","15.52","7.4","30.68"
"HCD","2019/2020","50","3012.87","53.12","47.96","49","48.5","48.4","148.57","131.13","2.96","2.61","1.94","6.89","118.73","128.81","2.36","2.57","2736.09","2848.06","54.49","56.72","2054.19","2180.83","40.91","43.43","1423.63","1517.91","28.35","30.23","111.21","10.44","91.36","101.8","7.23","93.99","49.41","971","994","19.34","19.8","63.3","36.7","63.91","36.09","52.03","53.3","12.47","12.34","8.59","7.04","7.56","17.42"
"HCFG","2019/2020","50","3006.93","44.72","49.63","47.29","47.48","46.49","102.92","127.23","2.05","2.54","12.05","7.15","122.68","124.54","2.45","2.49","2631.59","2932.65","52.51","58.52","2040.96","2257.34","40.73","45.04","1369.11","1576.05","27.32","31.45","111.03","7.52","91.93","99.44","5.04","94.36","47.79","853","932","17.02","18.6","69.44","30.56","61.04","38.96","52.03","53.74","12.23","12.88","7.63","23.35","7.54","22.46"
"HCL","2019/2020","50","3002.72","47","49.96","49.03","51.05","50.84","111.24","125.44","2.22","2.51","11.68","10.48","106.51","106.69","2.13","2.13","2580.86","2683.09","51.57","53.61","2036.11","1952.56","40.69","39.02","1384.04","1338.3","27.66","26.74","105.18","8.04","90.63","98.66","5.46","93.58","51.3","888","843","17.74","16.84","65.25","34.75","61.98","38.02","53.63","49.88","12.47","13.09","7.04","19.64","8.28","17.31"
"LHC","2019/2020","50","3003.03","51.58","55.7","51.34","52.71","51.36","124.7","117.03","2.49","2.34","9.9","10.18","134.94","107.3","2.7","2.14","2798.04","2651.81","55.9","52.98","2174.85","1951.47","43.45","38.99","1452.84","1375.7","29.03","27.49","108.89","8.58","91.49","100.08","5.73","94","56.29","1042","809","20.82","16.16","61.84","38.16","59.89","40.11","51.92","51.88","11.89","13.01","6.85","19.91","7.29","18.81"
"SCB","2019/2020","50","3009.97","48.73","48.81","49.37","48.56","49.85","121.6","127.94","2.42","2.55","4.29","7.29","123.21","129.21","2.46","2.58","2833.54","2905.51","56.48","57.92","2032.49","2153","40.52","42.92","1467.37","1476.06","29.25","29.42","114.4","8.29","91.33","99.62","5.98","94.06","47.39","882","979","17.58","19.52","59.74","40.26","62.42","37.58","51.79","50.8","12.74","12.49","6.71","27.08","6.63","14.55"
"SCLT","2019/2020","50","3011.83","44.88","49.47","48.94","51.37","49.8","109.84","134.92","2.19","2.69","4.22","4.12","125.7","128.4","2.5","2.56","2776.68","2896.56","55.32","57.7","2234.95","2115.75","44.52","42.15","1435.98","1447.57","28.61","28.84","113.02","7.65","90.68","98.33","4.91","93.62","48.28","869","931","17.31","18.55","65.46","34.54","62.03","37.97","51.72","49.98","12.46","12.46","6.73","18.55","7.04","3.81"
"SCRJ","2019/2020","50","3006.23","44.22","41.67","46.78","46.08","47","117.35","148.04","2.34","2.95","3.1","9.36","104.68","146.51","2.09","2.92","2561.92","2914.62","51.13","58.17","1911.35","2236.17","38.15","44.63","1373.22","1548.27","27.41","30.9","109.3","8.55","90.44","98.98","6.14","93.38","42.61","847","1141","16.9","22.77","64.94","35.06","65.26","34.74","53.6","53.12","12.96","11.6","8.3","28.92","6.98","15.59"
"ZSC","2019/2020","50","3009.78","57.17","57.18","57.11","54.49","55.46","153.17","114.75","3.05","2.29","7.39","3.88","153.97","115.32","3.07","2.3","3252.7","2442.81","64.84","48.7","2341.45","1955.71","46.68","38.99","1698.16","1363.56","33.85","27.18","113.54","9.02","91.58","100.6","6.54","94.13","56.93","1159","877","23.1","17.48","63.08","36.92","66.56","33.44","52.21","55.82","12.41","12.05","7.01","25.92","6.63","29.47"
