
"Team","Season","GP","TOI","GF%","xGF%","CF%","FF%","SF%","GF","GA","GF/60","GA/60","GF EN","GA EN","xGF","xGA","xGF/60","xGA/60","CF","CA","CF/60","CA/60","FF","FA","FF/60","FA/60","SF","SA","SF/60","SA/60","Pace/60","SH%","SV%","PDO","fSH%","fSV%","CF% Slot","CF Slot","CA Slot","CF Slot/60","CA Slot/60","CF F %","CF D %","CA F %","CA D %","CF On Target %","CA On Target %","Avg. CF dist.","Avg. CA dist.","Avg. GF dist.","Avg. GF EN dist.","Avg. GA dist.","Avg. GA EN dist."
"EHCB","2020/2021","48","2885.55","51.83","55.09","53.85","53.99","52.77","137.95","128.23","2.87","2.67","6.81","5.31","145.7","118.79","3.03","2.47","3114.07","2669.16","64.75","55.5","2172.13","1850.92","45.17","38.49","1601.5","1433.62","33.3","29.81","120.25","8.61","91.06","99.67","6.35","93.07","56.5","982","756","20.42","15.72","63.51","36.49","66.43","33.57","51.43","53.71","12.02","12.47","6.83","28.89","6.76","26.94"
"EVZ","2020/2021","52","3129.22","60.76","55.89","52.44","53.17","52.92","180.92","116.82","3.47","2.24","9.38","2.91","164.88","130.12","3.16","2.5","3223.09","2923.03","61.8","56.05","2315.51","2039.46","44.4","39.1","1790.59","1593.31","34.33","30.55","117.85","10.1","92.67","102.77","7.81","94.27","55.93","1103","869","21.15","16.66","65.75","34.25","65","35","55.56","54.51","11.25","12.33","6.33","16.96","7.31","7.38"
"GSHC","2020/2021","50","3004.5","55.2","49.83","52.29","51.35","51.37","151.4","122.87","3.02","2.45","7.24","4.01","132.25","133.17","2.64","2.66","3056.41","2788.83","61.04","55.69","2171.86","2057.36","43.37","41.09","1671.14","1582.2","33.37","31.6","116.73","9.06","92.23","101.29","6.97","94.03","51.31","940","892","18.77","17.81","64.08","35.92","66.35","33.65","54.68","56.73","12.24","12.07","6.64","19.39","6.55","26.36"
"HCAP","2020/2021","51","3069.77","41.52","45.65","47.23","47.64","48.26","101.08","142.37","1.98","2.78","3.1","9.61","122.5","145.82","2.39","2.85","2944.71","3289.53","57.56","64.3","2072.46","2277.78","40.51","44.52","1580.46","1694.32","30.89","33.12","121.85","6.4","91.6","97.99","4.88","93.75","45.83","797","942","15.58","18.41","61.4","38.6","64.33","35.67","53.67","51.51","12.81","12.13","7.89","16.94","7.07","23.09"
"HCD","2020/2021","51","3066.65","49.4","48.31","48.47","47.46","46.89","160.39","164.31","3.14","3.21","8.27","9.47","141.75","151.65","2.77","2.97","2972.33","3160.31","58.15","61.83","2104.83","2330.06","41.18","45.59","1561.87","1768.99","30.56","34.61","119.99","10.27","90.71","100.98","7.62","92.95","49.87","991","996","19.39","19.49","67.45","32.55","67.32","32.68","52.55","55.98","11.87","11.62","6.32","23.54","6.55","25.51"
"HCFG","2020/2021","51","3063.57","51.87","49.3","49.49","49.69","50.16","152.11","141.17","2.98","2.76","3.94","4.53","136.73","140.59","2.68","2.75","3085.54","3148.75","60.43","61.67","2193.08","2220.13","42.95","43.48","1680.63","1669.63","32.92","32.7","122.1","9.05","91.54","100.6","6.94","93.64","48.93","895","934","17.53","18.29","70.63","29.37","63.79","36.21","54.47","53.03","12.41","12.08","6.25","15.17","6.67","17.7"
"HCL","2020/2021","52","3122","52.64","51.1","50.97","50.71","51.83","143.87","129.45","2.76","2.49","8.03","7.41","151.08","144.54","2.9","2.78","3357.59","3229.22","64.53","62.06","2352.51","2286.52","45.21","43.94","1776.49","1651.23","34.14","31.73","126.59","8.1","92.16","100.26","6.12","94.34","48.44","947","1008","18.2","19.37","66.78","33.22","62.79","37.21","52.91","51.13","12.18","12.23","6.3","32.71","7","20.91"
"LHC","2020/2021","51","3063.88","55.26","52.12","52.55","53.47","53.16","143.23","115.94","2.8","2.27","10.49","4.06","144.34","132.63","2.83","2.6","3344.39","3020.29","65.49","59.15","2366.18","2059.37","46.34","40.33","1768.26","1557.84","34.63","30.51","124.64","8.1","92.56","100.66","6.05","94.37","52.23","974","891","19.07","17.45","65.58","34.42","65.08","34.92","52.87","51.58","11.86","12.13","6.48","13.32","6.43","27.5"
"SCB","2020/2021","48","2885.15","45.67","49.17","48.7","48.53","49.14","122.58","145.84","2.55","3.03","4.51","7.19","125.96","130.2","2.62","2.71","2842.05","2994.06","59.1","62.26","1984.84","2105.2","41.28","43.78","1494.5","1546.71","31.08","32.17","121.37","8.2","90.57","98.77","6.18","93.07","51.77","906","844","18.84","17.55","64.24","35.76","63.77","36.23","52.59","51.66","12.2","12.31","6.9","9.93","6.34","25.11"
"SCLT","2020/2021","52","3125","36.22","40.27","42.4","42.58","42.23","102.15","179.9","1.96","3.45","2.86","12.47","111.69","165.63","2.14","3.18","2662.11","3617.17","51.11","69.45","1875.35","2529.2","36.01","48.56","1413.32","1933.03","27.14","37.11","120.56","7.23","90.69","97.92","5.45","92.89","40.11","732","1093","14.05","20.99","61.91","38.09","64.56","35.44","53.09","53.44","12.62","12.09","7.4","23.51","7.02","16.57"
