"Team name","Team","Season","GP","PTS","PTS/GP","TOI","Leading%","Tied%","Trailing%","GF","GA","G±","GF_","GA_","G_±","GF_/60","GA_/60","EQ TOI","EQ GF","EQ GA","EQ G±","EQ GF/60","EQ GA/60","PP TOI","PP OP","PP%","PP GF","PP GA","PP G±","PP GF/60","SH TOI","SH SI","PK%","SH GF","SH GA","SH G±","SH GA/60","GF EN","GA EN","GF SO","GA SO","SH%","SV%","PDO","CF","CF/60","CA","CA/60","CF%","FF","FF/60","FA","FA/60","FF%","SF","SF/60","SA","SA/60","SF%","Pace/60","SMF","SPF","SBF","SMA","SPA","SBA","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spect. / GP","Spect. / GP - Home","Spect. / GP - Away"
"EV Zug","EVZ","2021/2022","52","100","1.92","3162.4","38.8","32.22","28.98","177","127","50","172","123","49","3.26","2.33","2525.5","125","99","26","2.97","2.35","320.5","203","20.2","41","5","36","7.68","316.5","187","87.7","9","23","-14","4.36","3","4","2","0","9.99","92.03","102.02","3106","58.93","2905","55.12","51.67","2260","42.88","2135","40.51","51.42","1725","32.73","1547","29.35","52.72","114.04","511","24","846","550","38","770","1458","1459","49.98","2","204","5","3","3","523","6353","6708","5997"
"ZSC Lions","ZSC","2021/2022","52","96","1.85","3164.8","37.37","39.55","23.08","169","130","39","158","123","35","3","2.33","2548","121","86","35","2.85","2.03","303.4","187","20.86","39","6","33","7.71","313.4","184","80.43","7","36","-29","6.89","9","5","2","2","9.25","92.21","101.46","3173","60.16","2817","53.41","52.97","2311","43.81","2019","38.28","53.37","1717","32.55","1584","30.03","52.01","113.56","549","45","862","415","20","798","1652","1352","54.99","4","205","7","0","7","585","6883","8020","5745"
"HC Fribourg-Gottéron","HCFG","2021/2022","50","94","1.88","3024.6","42.55","32.99","24.46","159","124","35","150","118","32","2.98","2.34","2497","122","96","26","2.93","2.31","258","157","21.02","33","3","30","7.68","269.7","158","84.81","3","24","-21","5.34","8","5","1","1","10.11","92.06","102.18","2730","54.16","2862","56.77","48.82","1981","39.3","2018","40.03","49.54","1491","29.58","1492","29.6","49.98","110.93","471","19","749","502","24","844","1354","1365","49.8","0","187","3","2","3","469","7266","8324","6208"
"SC Rapperswil-Jona Lakers","SCRJ","2021/2022","52","94","1.81","3146.2","34.15","36.03","29.81","164","135","29","147","123","24","2.8","2.35","2573.7","121","103","18","2.82","2.4","300.1","184","17.93","33","2","31","6.6","272.4","169","82.84","7","29","-22","6.39","14","11","3","1","9.44","91.67","101.11","2910","55.5","2805","53.49","50.92","2101","40.07","2068","39.44","50.4","1571","29.96","1488","28.38","51.36","108.99","506","24","809","547","33","737","1491","1356","52.37","3","178","6","0","4","466","4912","3927","5897"
"Genève-Servette HC","GSHC","2021/2022","52","88","1.69","3164.4","37.34","34.06","28.6","151","130","21","141","125","16","2.67","2.37","2595.2","98","84","14","2.27","1.94","317.8","204","22.06","45","10","35","8.5","251.4","170","80","5","34","-29","8.11","7","3","3","2","8.63","91.47","100.11","3127","59.29","2793","52.96","52.82","2296","43.53","2016","38.23","53.25","1640","31.1","1469","27.85","52.75","112.25","629","27","831","513","34","777","1505","1262","54.39","1","195","5","0","5","515","5627","4833","6420"
"HC Davos","HCD","2021/2022","51","88","1.73","3075.2","41.43","29.26","29.32","148","125","23","144","121","23","2.81","2.36","2507.8","107","96","11","2.56","2.3","292.4","185","18.92","35","4","31","7.18","274.9","166","84.94","5","25","-20","5.46","3","4","1","0","9.55","92.43","101.98","2825","55.12","3013","58.79","48.39","2108","41.13","2185","42.63","49.1","1511","29.48","1603","31.28","48.52","113.91","563","34","717","559","23","828","1345","1506","47.18","0","179","8","1","7","548","5084","3988","6224"
"EHC Biel-Bienne","EHCB","2021/2022","51","87","1.71","3093.4","32.89","34.81","32.3","154","128","26","145","122","23","2.81","2.37","2507.9","114","86","28","2.73","2.06","308.3","188","19.68","37","7","30","7.2","277.3","171","80.7","2","33","-31","7.14","8","4","1","2","9","91.66","100.65","2975","57.7","2642","51.24","52.96","2223","43.12","1956","37.94","53.19","1620","31.42","1466","28.43","52.5","108.95","573","30","752","463","27","686","1406","1494","48.48","1","199","5","1","4","513","5865","5263","6444"
"Lausanne HC","LHC","2021/2022","51","87","1.71","3074.9","39.67","30","30.33","155","143","12","150","136","14","2.93","2.65","2524.5","122","100","22","2.9","2.38","266.1","162","17.9","29","1","28","6.54","284.3","178","77.53","4","40","-36","8.44","5","5","0","2","9.26","90.44","99.7","3045","59.42","2685","52.39","53.14","2175","42.44","1948","38.01","52.75","1624","31.69","1427","27.84","53.23","111.81","527","24","870","503","18","737","1345","1440","48.29","2","197","9","4","6","599","6042","6052","6030"
"HC Lugano","HCL","2021/2022","52","76","1.46","3152.7","34.04","32.44","33.52","160","158","2","148","156","-8","2.82","2.97","2545","112","118","-6","2.64","2.78","275.3","174","20.69","36","7","29","7.85","332.3","207","84.06","9","33","-24","5.96","9","2","3","0","8.06","90.19","98.25","3313","63.05","2864","54.51","53.63","2475","47.1","2127","40.48","53.78","1846","35.13","1592","30.3","53.69","117.56","583","46","838","509","26","737","1642","1568","51.15","4","234","4","7","6","678","5647","4960","6334"
"HC Ambri-Piotta","HCAP","2021/2022","52","66","1.27","3138.1","35.77","34.28","29.96","131","145","-14","127","138","-11","2.43","2.64","2506.6","100","101","-1","2.39","2.42","307.9","193","13.47","26","6","20","5.07","323.6","204","81.86","4","37","-33","6.86","3","6","1","1","7.92","91.24","99.16","3056","58.43","2942","56.25","50.95","2155","41.2","2119","40.51","50.42","1607","30.73","1582","30.25","50.39","114.68","526","22","901","504","33","823","1408","1639","46.21","3","225","3","0","3","525","6132","6017","6246"
"SC Bern","SCB","2021/2022","52","65","1.25","3155.4","30.05","35.72","34.23","136","148","-12","135","133","2","2.57","2.53","2601.3","108","112","-4","2.49","2.58","266.3","164","15.24","25","3","22","5.63","287.9","172","83.72","3","28","-25","5.84","1","10","0","5","8.59","92.05","100.63","2895","55.05","3306","62.86","46.69","2121","40.33","2347","44.63","47.47","1573","29.91","1682","31.98","48.33","117.91","527","21","774","636","29","959","1430","1486","49.04","1","198","4","1","5","526","9665","13348","5982"
"SCL Tigers","SCLT","2021/2022","50","35","0.7","3018.8","18.87","31.17","49.97","129","205","-76","126","196","-70","2.5","3.9","2481.7","94","150","-56","2.27","3.63","245.3","146","19.18","28","5","23","6.85","291.9","190","74.21","7","49","-42","10.07","3","8","0","1","8.73","88.46","97.18","2766","54.98","3178","63.16","46.53","1990","39.55","2382","47.34","45.52","1447","28.76","1706","33.91","45.89","118.14","518","25","776","641","35","796","1502","1442","51.02","2","194","7","1","6","553","5406","4742","6019"
