"Team","Season","GP","TOI","GF%","xGF%","CF%","FF%","SF%","GF","GA","GF/60","GA/60","GF EN","GA EN","xGF","xGA","xGF/60","xGA/60","CF","CA","CF/60","CA/60","FF","FA","FF/60","FA/60","SF","SA","SF/60","SA/60","Pace/60","SH%","SV%","PDO","fSH%","fSV%","CF% Slot","CF Slot","CA Slot","CF Slot/60","CA Slot/60","CF F %","CF D %","CA F %","CA D %","CF On Target %","CA On Target %","Avg. CF dist.","Avg. CA dist.","Avg. GF dist.","Avg. GF EN dist.","Avg. GA dist.","Avg. GA EN dist."
"EHCB","2022/2023","52","2575.65","58.72","52.6","49.22","49.3","49.85","128.75","90.5","3","2.11","107.14","96.56","2.5","2.25","2225.95","2296.27","51.85","53.49","1596.83","1642.18","37.2","38.25","1150.87","1157.67","26.81","26.97","105.35","11.19","92.18","103.37","8.06","94.49","53.56","925","802","21.55","18.68","72.05","27.95","63.69","36.31","51.7","50.42","11.16","12.02","6.26","6.77"
"EHCK","2022/2023","52","2477.17","42.16","43.44","46.2","45.25","45.88","77.57","106.43","1.88","2.58","86.92","113.15","2.11","2.74","2138.87","2490.55","51.81","60.32","1463.68","1770.67","35.45","42.89","1091.29","1287.24","26.43","31.18","112.13","7.11","91.73","98.84","5.3","93.99","42.5","697","943","16.88","22.84","64.22","35.78","64.75","35.25","51.02","51.68","12.56","11.58","6.6","6.08"
"EVZ","2022/2023","52","2580.18","50.34","54.64","55.73","54.89","54.19","96.55","95.25","2.25","2.21","113.52","94.24","2.64","2.19","2662.73","2115.23","61.92","49.19","1794.92","1475.17","41.74","34.3","1280.2","1082.36","29.77","25.17","111.11","7.54","91.2","98.74","5.38","93.54","55.04","944","771","21.95","17.93","63.16","36.84","62.9","37.1","48.08","51.17","11.92","11.86","5.59","5.95"
"GSHC","2022/2023","52","2541.92","55.93","52.65","52.24","52.58","52.29","113.2","89.2","2.67","2.11","105.28","94.68","2.49","2.23","2323.43","2123.98","54.84","50.13","1643.02","1481.67","38.78","34.97","1192.13","1087.92","28.14","25.68","104.98","9.5","91.8","101.3","6.89","93.98","52.17","852","781","20.11","18.43","65.01","34.99","64.77","35.23","51.31","51.22","11.71","11.8","6.26","6.46"
"HCA","2022/2023","52","2533.65","38.52","38.13","40.28","40.08","39.99","80.28","128.16","1.9","3.03","77.42","125.62","1.83","2.97","1921.84","2849.89","45.51","67.49","1330.17","1989.03","31.5","47.1","972.16","1458.78","23.02","34.55","113","8.26","91.21","99.47","6.04","93.56","38.94","639","1002","15.13","23.73","58.06","41.94","64.36","35.64","50.59","51.19","12.76","11.69","6.42","6.88"
"HCAP","2022/2023","52","2541.37","45.98","47.56","47.8","46.72","47.22","92.49","108.68","2.18","2.57","102.59","113.12","2.42","2.67","2341.95","2557.75","55.29","60.39","1611.27","1837.44","38.04","43.38","1174.12","1312.19","27.72","30.98","115.68","7.88","91.72","99.59","5.74","94.09","47.46","849","940","20.04","22.19","62.94","37.06","64.65","35.35","50.13","51.3","12.03","11.66","6.65","5.82"
"HCD","2022/2023","52","2562.02","46.59","52.21","51.25","51.53","50.47","94.56","108.41","2.21","2.54","103.93","95.15","2.43","2.23","2401.43","2283.87","56.24","53.49","1715.02","1613.03","40.16","37.78","1203.24","1180.98","28.18","27.66","109.73","7.86","90.82","98.68","5.51","93.28","52.66","851","765","19.93","17.92","58.54","41.46","63.4","36.6","50.11","51.71","11.91","12.25","6.18","6.2"
"HCFG","2022/2023","52","2573.62","51.76","56.54","52.4","54.37","55.09","90.84","84.65","2.12","1.97","114.4","87.93","2.67","2.05","2369.03","2152.36","55.23","50.18","1686.63","1415.51","39.32","33","1232.71","1005.07","28.74","23.43","105.41","7.37","91.58","98.95","5.39","94.02","56.68","929","710","21.66","16.55","66.97","33.03","61.25","38.75","52.03","46.7","11.08","12.44","6.12","6.8"
"HCL","2022/2023","52","2536.78","50.1","52.69","53.73","54.84","55.14","99.95","99.53","2.36","2.35","110.67","99.38","2.62","2.35","2551.75","2197.11","60.35","51.97","1884.27","1551.75","44.57","36.7","1368.88","1113.77","32.38","26.34","112.32","7.3","91.06","98.37","5.3","93.59","51.34","880","834","20.81","19.73","65.55","34.45","65","35","53.64","50.69","11.96","11.67","5.73","6.11"
"LHC","2022/2023","52","2507.28","49.62","53.19","53.65","53.17","52.52","97.27","98.75","2.33","2.36","108.4","95.4","2.59","2.28","2561.66","2213.41","61.3","52.97","1785.51","1572.43","42.73","37.63","1303.19","1178.2","31.19","28.19","114.27","7.46","91.62","99.08","5.45","93.72","53.4","872","761","20.87","18.21","62.8","37.2","65.33","34.67","50.87","53.23","12.17","12.06","6.37","5.69"
