"Team name","Team","Season","GP","PTS","PTS/GP","TOI","Leading","Tied","Trailing","GF","GA","G±","GF_","GA_","G_±","GF_/60","GA_/60","EQ TOI","EQ GF","EQ GA","EQ G±","EQ GF/60","EQ GA/60","PP TOI","PP OP","PP%","PP GF","PP GA","PP G±","PP GF/60","SH TOI","SH SI","PK%","SH GF","SH GA","SH G±","SH GA/60","GF EN","GA EN","GF SO","GA SO","SH%","SV%","PDO","FOW","FOL","FO%","# 0'","# 2'","# 5'","# 10'","# 20'","PIM","Spect. / GP","Spect. / GP - Home","Spect. / GP - Away"
"EHC Biel-Bienne","EHCB","2023/2024","4","7","1.75","245","29.64","44.59","25.77","11","11","0","10","10","0","2.45","2.45","198.4","10","6","4","3.02","1.81","23.4","12","8.33","1","1","0","2.57","23.3","14","78.57","0","3","-3","7.74","1","0","0","1","8.47","92.25","100.72","104","124","45.61","0","14","0","0","0","28","6096","5881","6168"
"EHC Kloten","EHCK","2023/2024","4","3","0.75","240","31.22","38.93","29.85","10","13","-3","9","13","-4","2.25","3.25","198.9","5","10","-5","1.51","3.02","26.4","15","20","3","0","3","6.83","14.7","9","66.67","2","3","-1","12.23","1","0","0","0","8.74","88.98","97.72","106","129","45.11","2","10","0","0","0","20","7694","5399","9989"
"EV Zug","EVZ","2023/2024","4","6","1.5","240","35.89","27.38","36.74","11","10","1","9","9","0","2.25","2.25","202.2","10","4","6","2.97","1.19","24.3","12","8.33","1","1","0","2.47","13.6","10","50","0","5","-5","22.14","2","1","0","0","6.77","91.35","98.11","120","104","53.57","0","12","0","0","0","24","6418","6764","6072"
"Genève-Servette HC","GSHC","2023/2024","4","4","1","241.1","34.33","21.36","44.31","5","16","-11","5","16","-11","1.24","3.98","200.1","5","13","-8","1.5","3.9","10","5","0","0","0","0","0","31","20","85","0","3","-3","5.81","0","0","0","0","5.88","88.57","94.45","104","105","49.76","1","20","1","0","1","65","6672","6058","6877"
"HC Ajoie","HCA","2023/2024","4","5","1.25","245","22.56","35.84","41.6","13","17","-4","12","17","-5","2.94","4.16","206.5","11","15","-4","3.2","4.36","25.9","14","7.14","1","0","1","2.31","12.6","8","75","0","2","-2","9.54","0","0","1","0","11.54","86.29","97.83","108","102","51.43","0","9","0","0","0","18","5690","4414","6968"
"HC Ambri-Piotta","HCAP","2023/2024","4","6","1.5","240","24.27","23.14","52.59","13","9","4","13","8","5","3.25","2","194.7","8","9","-1","2.47","2.77","21.1","14","35.71","5","0","5","14.2","24.2","13","100","0","0","0","0","0","1","0","0","10.4","92.31","102.71","118","106","52.68","0","13","0","0","0","26","6134","6192","5963"
"HC Davos","HCD","2023/2024","4","6","1.5","240","61.08","27.85","11.07","14","8","6","13","8","5","3.25","2","200.6","13","7","6","3.89","2.09","20.4","13","7.69","1","0","1","2.93","19","12","91.67","0","1","-1","3.16","1","0","0","0","8.78","92","100.78","118","101","53.88","0","13","0","0","0","26","4372","4101","4642"
"HC Fribourg-Gottéron","HCFG","2023/2024","5","11","2.2","300.9","44.48","33.72","21.8","19","13","6","19","12","7","3.79","2.39","234.2","16","9","7","4.1","2.31","32.5","20","15","3","0","3","5.54","34.1","20","80","0","4","-4","7.04","0","1","0","0","14.84","92.41","107.25","126","147","46.15","0","20","1","0","1","65","7434","9009","5072"
"HC Lugano","HCL","2023/2024","3","6","2","180","28.26","56.11","15.63","9","7","2","8","6","2","2.67","2","139","5","7","-2","2.16","3.02","25","15","26.67","4","0","4","9.59","16","8","100","0","0","0","0","1","1","0","0","8.7","92.77","101.47","88","66","57.14","0","9","0","0","0","18","5962","4439","9009"
"Lausanne HC","LHC","2023/2024","5","10","2","300.9","41.63","40.11","18.26","19","13","6","19","11","8","3.79","2.19","223.7","15","10","5","4.02","2.68","41.5","21","19.05","4","1","3","5.78","35.6","19","89.47","0","2","-2","3.37","0","2","0","0","9.36","91.34","100.7","158","130","54.86","0","21","2","1","2","102","8361","6258","9762"
"SC Bern","SCB","2023/2024","4","9","2.25","240","52.1","13.72","34.18","15","7","8","13","5","8","3.25","1.25","197","14","6","8","4.26","1.83","15.7","11","9.09","1","0","1","3.82","27.3","13","92.31","0","1","-1","2.2","2","2","0","0","9.35","95.8","105.15","114","122","48.31","0","14","3","1","1","73","11973","14526","4314"
"SC Rapperswil-Jona Lakers","SCRJ","2023/2024","4","3","0.75","240","30.45","17.39","52.16","9","15","-6","7","13","-6","1.75","3.25","201.1","8","14","-6","2.39","4.18","17.4","10","10","1","0","1","3.44","21.5","11","90.91","0","1","-1","2.79","2","2","0","0","7","90.78","97.78","122","119","50.62","0","13","1","0","1","51","5309","4314","5641"
"SCL Tigers","SCLT","2023/2024","4","2","0.5","241.1","0","23.86","76.14","6","21","-15","6","21","-15","1.49","5.23","204.4","5","17","-12","1.47","4.99","14.8","6","16.67","1","0","1","4.04","21.8","13","69.23","0","4","-4","10.99","0","0","0","0","5.45","87.04","92.49","102","122","45.54","0","13","0","0","0","26","7873","5139","10607"
"ZSC Lions","ZSC","2023/2024","3","6","2","180","43.92","34","22.08","12","6","6","12","6","6","4","2","148.1","8","6","2","3.24","2.43","13.9","11","27.27","3","0","3","12.92","17.9","9","100","1","0","1","0","0","0","0","0","13.64","91.04","104.68","78","89","46.71","0","10","0","0","0","20","8329","9464","6058"
