
"Team","SuccessfulEntries %","% Entries triedin Control","ControlledEntries %","ControlledEntries Success %","Dump-insSuccess %"
"EVZ","60.6","68.5","54.1","79","20.5"
"EHCB","58.6","70","53.8","76.9","15.8"
"GSHC","60.2","67.3","53.2","79.2","21.2"
"SCB","58.5","67.1","52.4","78.1","18.5"
"LHC","58.9","66.4","52.3","78.8","19.7"
"SCRJ","57.6","66.3","52.1","78.7","16.1"
"HCD","59.9","65.6","51.6","78.6","24.1"
"HCAP","56.8","68.4","51.5","75.3","16.6"
"HCL","57.6","68.4","51.4","75.2","19.4"
"League","57.7","66.4","51.3","77.2","19.3"
"HCFG","54","63.9","48.2","75.5","15.9"
"SCLT","54.6","63.3","47.9","75.6","18.4"
"ZSC","55.3","64.3","47.4","73.8","22"
"HCA","52.9","62","46.7","75.4","16.1"
"EHCK","52.9","62.8","46.2","73.6","18"
