"Team","SuccessfulExits %","% Exits triedin Control","ControlledExits %","CarrySuccess %","PassSuccess %","DumpSuccess %"
"EVZ","72.7","86.2","65.7","89.8","69.5","51"
"HCD","71.1","82.2","62.5","88.3","70.1","48.5"
"SCRJ","70.6","83.1","62.2","89.3","68.3","50.2"
"LHC","70.2","82","62","89.9","68.9","45.7"
"HCL","72.1","79","61.2","90.5","70.9","52"
"GSHC","71.1","79.2","60.2","90.8","68.9","52.3"
"League","69.8","79.6","59.9","89.8","68.1","48.2"
"HCAP","68.7","79.2","59.1","91.3","66.2","46.3"
"SCB","68.6","79","59","88.8","66.9","46.1"
"EHCK","70.9","76.6","58.9","91","68.1","51.4"
"HCFG","68.3","79.6","58.5","86.9","67.9","48.2"
"EHCB","68","76.7","57.8","91","67.7","43.8"
"ZSC","67.3","76.4","56","90.4","65.1","47.6"
"HCA","67.7","73.6","53.5","88.6","65.6","53.6"
"SCLT","64.1","72.5","52.8","90.8","62.8","41"
