
"Team","SuccessfulExits %against","% Exits triedin Controlagainst","ControlledExits %against","CarrySuccess %against","PassSuccess %against","DumpSuccess %against"
"ZSC","65.7","76.2","54.9","85.5","66.8","45.4"
"LHC","65.2","78","55.9","87.5","64.7","42.1"
"HCD","69.3","75.8","57.1","90.4","67.4","50.6"
"SCB","67.3","78","57.2","89","65.6","45.9"
"HCFG","68.6","79.3","58.9","87.9","68.5","47.1"
"HCAP","70.6","78","59.6","90.5","69.3","49.9"
"League","69.8","79.6","59.9","89.8","68.1","48.2"
"EVZ","71.9","78.3","60.1","90.2","70.2","54.6"
"EHCB","69.7","80.9","60.6","89.2","66.6","47.4"
"EHCK","71","81.3","61.5","92.6","66.8","50.8"
"SCLT","70.7","81.1","62.2","92.7","68.8","44.7"
"GSHC","71.4","82.3","62.8","89.9","69.5","48.6"
"HCL","74.1","81.6","64","91.5","71.7","55.1"
"SCRJ","72.2","84.2","64.9","91.2","69.8","46.2"
"HCA","75.2","85.9","68.3","92.1","72.7","48.6"
