"Team","Season","GP","TOI","GF%","xGF%","CF%","FF%","SF%","GF","GA","GF/60","GA/60","GF EN","GA EN","xGF","xGA","xGF/60","xGA/60","CF","CA","CF/60","CA/60","FF","FA","FF/60","FA/60","SF","SA","SF/60","SA/60","Pace/60","SH%","SV%","PDO","fSH%","fSV%","CF% Slot","CF Slot","CA Slot","CF Slot/60","CA Slot/60","CF F %","CF D %","CA F %","CA D %","CF On Target %","CA On Target %","Avg. CF dist.","Avg. CA dist.","Avg. GF dist.","Avg. GF EN dist.","Avg. GA dist.","Avg. GA EN dist."
"HCFG","2022/2023","52","3126.4","53.96","56.88","53.49","54.99","56.1","141.14","120.4","2.71","2.31","10.03","8.88","164.43","124.66","3.16","2.39","3095.67","2691.35","59.41","51.65","2225.51","1821.5","42.71","34.96","1638.16","1281.82","31.44","24.6","111.06","8.62","90.61","99.22","6.34","93.39","57.44","1254","929","24.07","17.83","70.7","29.3","63.78","36.22","52.92","47.63","10.87","12.19","6.23","16.68","6.63","24.76"
"EVZ","2022/2023","52","3125.25","51.9","55.37","55.81","55.26","54.95","150.13","139.16","2.88","2.67","8.17","9.41","158.85","128.06","3.05","2.46","3283.95","2600.03","63.05","49.92","2267.72","1836.12","43.54","35.25","1634.47","1340.03","31.38","25.73","112.96","9.19","89.61","98.8","6.62","92.42","55.93","1250","985","24","18.91","66.49","33.51","65.59","34.41","49.77","51.54","11.62","11.62","6.36","19.1","6.04","31.48"
"SCB","2022/2023","52","3126.05","49.05","52.29","51.69","52.36","52.65","135.12","140.33","2.59","2.69","6.16","11.33","153.35","139.91","2.94","2.69","3176.11","2968.64","60.96","56.98","2258.57","2054.66","43.35","39.44","1695.7","1524.75","32.55","29.27","117.94","7.97","90.8","98.76","5.98","93.17","51.95","1160","1073","22.26","20.59","64.29","35.71","64.16","35.84","53.39","51.36","11.67","11.85","5.98","20.25","6.67","20.96"
"HCL","2022/2023","52","3121.9","47.28","51.5","52.94","53.73","54.23","132.82","148.12","2.55","2.85","9.86","11.9","151.85","143.01","2.92","2.75","3124.81","2777.36","60.06","53.38","2329.16","2005.68","44.76","38.55","1709.86","1443.14","32.86","27.74","113.43","7.77","89.74","97.5","5.7","92.62","50.62","1148","1120","22.06","21.53","67.73","32.27","67.8","32.2","54.72","51.96","11.76","11.5","5.64","24.59","6.48","16.77"
"GSHC","2022/2023","52","3129.13","56.11","53.73","51.81","52.3","51.83","167.19","130.76","3.21","2.51","14.8","4.69","151.13","130.17","2.9","2.5","2876.96","2675.6","55.16","51.3","2076.92","1894.44","39.82","36.33","1516.44","1409.15","29.08","27.02","106.47","11.03","90.72","101.75","8.05","93.1","52.52","1125","1017","21.57","19.5","66.13","33.87","66.7","33.3","52.71","52.67","11.55","11.7","5.93","19.11","6.83","23.95"
"LHC","2022/2023","52","3126.53","46.06","51.35","52.73","52.25","51.4","127.69","149.54","2.45","2.87","5.52","5","146.83","139.09","2.82","2.67","3184.2","2854.08","61.11","54.77","2243.08","2049.76","43.05","39.34","1634.02","1545.22","31.36","29.65","115.88","7.81","90.32","98.14","5.69","92.7","52.12","1132","1040","21.72","19.96","64.47","35.53","67.6","32.4","51.32","54.14","12.02","11.8","6.68","26.16","6.22","18.01"
"HCD","2022/2023","52","3132.9","51.95","52.75","51.36","52.11","51.21","137.96","127.6","2.64","2.44","5.42","3.17","146.78","131.46","2.81","2.52","2996.05","2837.02","57.38","54.33","2186.21","2009.12","41.87","38.48","1558.63","1485.26","29.85","28.45","111.71","8.85","91.41","100.26","6.31","93.65","53.64","1157","1000","22.16","19.15","61.04","38.96","65.32","34.68","52.02","52.35","11.67","12.08","6.57","15.75","6.13","32.22"
"EHCB","2022/2023","52","3121.55","57.01","51.03","48.96","48.67","48.72","162.55","122.56","3.12","2.36","5.22","4.27","144.77","138.93","2.78","2.67","2753.21","2870.11","52.92","55.17","1985.74","2093.93","38.17","40.25","1422.82","1497.43","27.35","28.78","108.09","11.42","91.82","103.24","8.19","94.15","51.91","1157","1072","22.24","20.61","73.11","26.89","66.02","33.98","51.68","52.17","11.07","11.77","6.61","29.91","6.89","14.62"
"ZSC","2022/2023","52","3121.88","53.84","50.35","51.86","52.07","51.58","140.72","120.66","2.7","2.32","7.37","1.16","143.17","141.16","2.75","2.71","3057.45","2838.31","58.76","54.55","2160.19","1988.24","41.52","38.21","1588.19","1490.95","30.52","28.65","113.31","8.86","91.91","100.77","6.51","93.93","50.45","1072","1053","20.6","20.24","66.73","33.27","67.12","32.88","51.94","52.53","11.84","11.7","6.79","24.82","6.05","25.81"
"SCRJ","2022/2023","52","3128.33","57.49","51.38","52.17","52.71","51.91","166.4","123.04","3.19","2.36","10.06","5.47","142.98","135.31","2.74","2.6","2934.86","2690.52","56.29","51.6","2071.38","1858.41","39.73","35.64","1497.15","1386.9","28.71","26.6","107.89","11.11","91.13","102.24","8.03","93.38","51.17","1117","1066","21.42","20.45","65.2","34.8","68.27","31.73","51.01","51.55","11.78","11.72","6.54","19.47","5.6","13.25"
"HCAP","2022/2023","52","3124.22","47.38","46.93","47.47","46.89","47.51","135.55","150.55","2.6","2.89","5.21","9.51","141.59","160.15","2.72","3.08","2905.46","3215.58","55.8","61.75","2043.65","2314.33","39.25","44.45","1501.71","1659.02","28.84","31.86","117.55","9.03","90.93","99.95","6.63","93.49","46.91","1109","1255","21.3","24.1","65.74","34.26","67.42","32.58","51.69","51.59","11.76","11.51","6.75","26.03","6.14","21.87"
"EHCK","2022/2023","52","3124.52","45.56","44.8","46.34","45.74","46.45","130.52","155.97","2.51","3","5.04","8.1","131.66","162.21","2.53","3.11","2747.9","3181.45","52.77","61.09","1936.03","2296.42","37.18","44.1","1464.53","1688.1","28.12","32.42","113.86","8.91","90.76","99.67","6.74","93.21","43.48","973","1265","18.68","24.29","67.57","32.43","66.7","33.3","53.3","53.06","12.1","11.34","6.44","16.31","6.17","17.15"
